GO_Term,2017_count,2025_count,absolute_change,percentage_change,2017_percentage,2025_percentage
GO:0044484 (envenomation resulting in fibrinolysis in another organism),0,3,3,inf,0.0,0.010621724968134825
GO:2000272 (negative regulation of signaling receptor activity),0,3,3,inf,0.0,0.010621724968134825
GO:0008061 (chitin binding),0,3,3,inf,0.0,0.010621724968134825
GO:0019695 (choline metabolic process),0,3,3,inf,0.0,0.010621724968134825
GO:0005634 (nucleus),0,3,3,inf,0.0,0.010621724968134825
GO:0004382 (GDP phosphatase activity),0,3,3,inf,0.0,0.010621724968134825
GO:0050025 (L-glutamate oxidase activity),0,3,3,inf,0.0,0.010621724968134825
GO:0006937 (regulation of muscle contraction),5,3,-2,-40.0,0.024971283024521798,0.010621724968134825
GO:0050029 (L-lysine oxidase activity),0,3,3,inf,0.0,0.010621724968134825
GO:0008239 (dipeptidyl-peptidase activity),0,3,3,inf,0.0,0.010621724968134825
GO:0060422 (peptidyl-dipeptidase inhibitor activity),2,2,0,0.0,0.00998851320980872,0.00708114997875655
GO:0002003 (angiotensin maturation),0,2,2,inf,0.0,0.00708114997875655
GO:0035916 (modulation of calcium channel activity in another organism),0,2,2,inf,0.0,0.00708114997875655
GO:0035894 (induction of platelet aggregation in another organism),0,2,2,inf,0.0,0.00708114997875655
GO:0022829 (wide pore channel activity),0,2,2,inf,0.0,0.00708114997875655
GO:0007631 (feeding behavior),0,2,2,inf,0.0,0.00708114997875655
GO:0140313 (molecular sequestering activity),0,2,2,inf,0.0,0.00708114997875655
GO:0005184 (neuropeptide hormone activity),0,2,2,inf,0.0,0.00708114997875655
GO:0005178 (integrin binding),0,2,2,inf,0.0,0.00708114997875655
GO:0005154 (epidermal growth factor receptor binding),0,2,2,inf,0.0,0.00708114997875655
GO:0044532 (modulation of apoptotic process in another organism),0,2,2,inf,0.0,0.00708114997875655
GO:0009966 (regulation of signal transduction),0,2,2,inf,0.0,0.00708114997875655
GO:0035814 (negative regulation of renal sodium excretion),0,2,2,inf,0.0,0.00708114997875655
GO:0001515 (opioid peptide activity),4,2,-2,-50.0,0.01997702641961744,0.00708114997875655
GO:0042730 (fibrinolysis),6,2,-4,-66.66666666666666,0.02996553962942616,0.00708114997875655
GO:0051607 (defense response to virus),0,2,2,inf,0.0,0.00708114997875655
GO:0044465 (modulation of sensory perception of pain in another organism),0,2,2,inf,0.0,0.00708114997875655
GO:0006874 (intracellular calcium ion homeostasis),0,2,2,inf,0.0,0.00708114997875655
GO:1905656 (positive regulation of artery smooth muscle contraction),0,2,2,inf,0.0,0.00708114997875655
GO:0006469 (negative regulation of protein kinase activity),2,2,0,0.0,0.00998851320980872,0.00708114997875655
GO:0006309 (apoptotic DNA fragmentation),0,2,2,inf,0.0,0.00708114997875655
GO:0006959 (humoral immune response),0,2,2,inf,0.0,0.00708114997875655
GO:0007157 (heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules),0,2,2,inf,0.0,0.00708114997875655
GO:0141041 (disruption of extracellular matrix of another organism),0,2,2,inf,0.0,0.00708114997875655
"GO:0044482 (envenomation resulting in blood vessel extracellular matrix damage, causing hemorrhagic damage in another organism)",0,2,2,inf,0.0,0.00708114997875655
GO:0007173 (epidermal growth factor receptor signaling pathway),0,2,2,inf,0.0,0.00708114997875655
GO:0044487 (envenomation resulting in modulation of transmission of nerve impulse in another organism),0,2,2,inf,0.0,0.00708114997875655
GO:0050996 (positive regulation of lipid catabolic process),2,2,0,0.0,0.00998851320980872,0.00708114997875655
GO:0005783 (endoplasmic reticulum),0,2,2,inf,0.0,0.00708114997875655
GO:0050921 (positive regulation of chemotaxis),4,2,-2,-50.0,0.01997702641961744,0.00708114997875655
GO:0050660 (flavin adenine dinucleotide binding),2,2,0,0.0,0.00998851320980872,0.00708114997875655
GO:0008284 (positive regulation of cell population proliferation),0,2,2,inf,0.0,0.00708114997875655
GO:0048019 (receptor antagonist activity),1,2,1,100.0,0.00499425660490436,0.00708114997875655
GO:0031708 (endothelin B receptor binding),0,2,2,inf,0.0,0.00708114997875655
GO:0004620 (phospholipase activity),2,2,0,0.0,0.00998851320980872,0.00708114997875655
GO:0016491 (oxidoreductase activity),0,2,2,inf,0.0,0.00708114997875655
GO:0016853 (isomerase activity),2,2,0,0.0,0.00998851320980872,0.00708114997875655
GO:0017110 (nucleoside diphosphate phosphatase activity),0,2,2,inf,0.0,0.00708114997875655
GO:0030899 (calcium-dependent ATPase activity),0,2,2,inf,0.0,0.00708114997875655
GO:0017171 (serine hydrolase activity),0,2,2,inf,0.0,0.00708114997875655
GO:0045202 (synapse),1,2,1,100.0,0.00499425660490436,0.00708114997875655
GO:0003100 (regulation of systemic arterial blood pressure by endothelin),0,2,2,inf,0.0,0.00708114997875655
GO:0014826 (vein smooth muscle contraction),0,2,2,inf,0.0,0.00708114997875655
GO:0045840 (positive regulation of mitotic nuclear division),0,2,2,inf,0.0,0.00708114997875655
GO:0031841 (neuropeptide Y receptor binding),0,2,2,inf,0.0,0.00708114997875655
GO:0019934 (cGMP-mediated signaling),0,2,2,inf,0.0,0.00708114997875655
GO:0004190 (aspartic-type endopeptidase activity),0,2,2,inf,0.0,0.00708114997875655
GO:0006581 (acetylcholine catabolic process),0,2,2,inf,0.0,0.00708114997875655
GO:0003085 (negative regulation of systemic arterial blood pressure),0,2,2,inf,0.0,0.00708114997875655
GO:0044475 (envenomation resulting in negative regulation of high voltage-gated calcium channel activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0051016 (barbed-end actin filament capping),0,1,1,inf,0.0,0.003540574989378275
GO:0044490 (positive regulation of voltage-gated sodium channel activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0051918 (negative regulation of fibrinolysis),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0103026 (fructose-1-phosphatase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0140367 (antibacterial innate immune response),0,1,1,inf,0.0,0.003540574989378275
GO:0051014 (actin filament severing),0,1,1,inf,0.0,0.003540574989378275
GO:0140629 (small conductance calcium-activated potassium channel inhibitor activity),0,1,1,inf,0.0,0.003540574989378275
GO:0045932 (negative regulation of muscle contraction),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0055037 (recycling endosome),0,1,1,inf,0.0,0.003540574989378275
GO:0051381 (histamine binding),0,1,1,inf,0.0,0.003540574989378275
GO:0140628 (outward rectifier potassium channel inhibitor activity),0,1,1,inf,0.0,0.003540574989378275
GO:1903135 (cupric ion binding),0,1,1,inf,0.0,0.003540574989378275
GO:0044480 (envenomation resulting in positive regulation of mast cell degranulation in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0106435 (carboxylesterase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0045785 (positive regulation of cell adhesion),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0140311 (protein sequestering activity),0,1,1,inf,0.0,0.003540574989378275
GO:0051701 (biological process involved in interaction with host),0,1,1,inf,0.0,0.003540574989378275
GO:0044476 (envenomation resulting in negative regulation of low voltage-gated calcium channel activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0048018 (receptor ligand activity),0,1,1,inf,0.0,0.003540574989378275
GO:0140548 (envenomation resulting in blood agglutination in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:1903609 (negative regulation of inward rectifier potassium channel activity),0,1,1,inf,0.0,0.003540574989378275
GO:0051673 (disruption of plasma membrane integrity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0050484 (GMP 5'-nucleotidase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0060300 (regulation of cytokine activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0060326 (cell chemotaxis),0,1,1,inf,0.0,0.003540574989378275
GO:0044619 (positive regulation of relaxation of uterine smooth muscle in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:1901017 (negative regulation of potassium ion transmembrane transporter activity),0,1,1,inf,0.0,0.003540574989378275
GO:0044555 (negative regulation of heart rate in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0090330 (regulation of platelet aggregation),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0044554 (modulation of heart rate in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0044552 (vasodilation in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0044551 (envenomation resulting in vasodilation in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0044742 (envenomation resulting in modulation of sensory perception of pain in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0050796 (regulation of insulin secretion),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:1901380 (negative regulation of potassium ion transmembrane transport),0,1,1,inf,0.0,0.003540574989378275
GO:0044514 (envenomation resulting in positive regulation of G protein-coupled receptor activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0044511 (envenomation resulting in modulation of receptor activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0044505 (positive regulation of G protein-coupled receptor activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0070527 (platelet aggregation),0,1,1,inf,0.0,0.003540574989378275
GO:0045454 (cell redox homeostasis),0,1,1,inf,0.0,0.003540574989378275
GO:0070320 (inward rectifier potassium channel inhibitor activity),0,1,1,inf,0.0,0.003540574989378275
GO:0097023 (fructose 6-phosphate aldolase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0044503 (modulation of G protein-coupled receptor activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0044499 (envenomation resulting in positive regulation of blood pressure in another organism),0,1,1,inf,0.0,0.003540574989378275
