Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Signal peptide,Propeptide,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Mature_length,Active_length,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P83346,92438,Snake toxin family,65,,Venom,,,Disulfide bond:4,,,,,,,,both,65,65,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P59891,244728,Alpha/beta-scorpion toxin family,30,fragment,Venom,,,,,,,,,,,both,30,30,Babycurus centrurimorphus,Arthropoda,Arachnida,Scorpiones,Buthidae,Babycurus,Babycurus centrurimorphus,terrestrial,terrestrial
P11494,6108,Sea anemone BDS toxin family,43,,,,,Disulfide bond:3,,,,,,,,kw_toxin,43,43,Anemonia sulcata,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,marine,marine
P59084,6108,Sea anemone BDS toxin family,43,,,,,Disulfide bond:3,,,,,,,,kw_toxin,43,43,Anemonia sulcata,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,marine,marine
P58752,170972,Alpha/beta-scorpion toxin family,58,,Venom,,,Disulfide bond:3,,,,,,,,both,58,58,Parabuthus transvaalicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Parabuthus,Parabuthus transvaalicus,terrestrial,terrestrial
Q9DGI0,8724,Fetuin family,341,,Liver,,Glycoprotein,Disulfide bond:6; Glycosylation:4,Yes,,GO:0045861 (negative regulation of proteolysis and pept...); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0045861 (negative regulation of proteolysis and pept...),,GO:0008191 (metalloendopeptidase inhibitor activity),,venom_tissue,322,322,Bothrops jararaca,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararaca,terrestrial,terrestrial
P10521,28643,MCD family,17,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,17,17,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07493,28643,MCD family,17,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,17,17,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07494,28643,MCD family,17,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,17,17,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07495,28643,MCD family,17,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,17,17,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07496,28643,MCD family,17,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,17,17,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P58803,35631,,7,,Venom,,Amidation; Bromination; Pyrrolidone carboxylic acid,Amidation:1; Bromination:1; Disulfide bond:1; Pyrrolidone carboxylic acid:1,,,,,,,,venom_tissue,7,7,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine,marine
P59866,42519,,34,,Venom,,,,,,,,,,,venom_tissue,34,34,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P59887,42519,Short scorpion toxin family,36,,Venom,,,Disulfide bond:4,,,,,,,,both,36,36,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P59886,42519,Short scorpion toxin family,38,,Venom,,,Disulfide bond:3,,,,,,,,both,38,38,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P80163,61304,Endothelin/sarafotoxin family,21,,Venom,,,Disulfide bond:2,,,,,,,,kw_toxin,21,21,Atractaspis bibronii,Chordata,Lepidosauria,Squamata,Lamprophiidae,Atractaspis,Atractaspis bibronii,terrestrial,terrestrial
P81782,92438,Snake toxin family,63,,Venom,,,Disulfide bond:5,,,,,,,,both,63,63,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P83661,246266,,8,,Venom,,,,,,GO:0005615 (extracellular space),,GO:0005615 (extracellular space),,,venom_tissue,8,8,Cyphononyx dorsalis,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cyphononyx,Cyphononyx dorsalis,terrestrial,terrestrial
P83660,246266,,16,,Venom,,,,,,GO:0009405 (pathogenesis); GO:0005615 (extracellular space),GO:0009405 (pathogenesis),GO:0005615 (extracellular space),,,both,16,16,Cyphononyx dorsalis,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cyphononyx,Cyphononyx dorsalis,terrestrial,terrestrial
P81783,92438,Snake toxin family,87,,Venom; Venom gland,,,Disulfide bond:5,Yes,,,,,,,both,66,66,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P60976,269418,,80,,Venom; Venom gland,PD(50) is 2.37 +/- 0.12 mg/kg by injection into the abdomen of larvae of H.virescens.,,,Yes,Yes,,,,,,kw_toxin,60,39,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P60977,269418,,39,,Venom; Venom gland,PD(50) is 3.70 +/- 0.19 mg/kg by injection into the abdomen of larvae of H.virescens.,,,,,,,,,,kw_toxin,39,39,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P60978,269418,,39,,Venom; Venom gland,,,,,,,,,,,kw_toxin,39,39,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P28878,6493,Conotoxin A-superfamily,13,,Venom,,Amidation,Disulfide bond:2; Amidation:1,,,,,,,,both,13,13,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P14613,8649,Snake toxin family,62,,Venom,,,Disulfide bond:4,,,,,,,,both,62,62,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P82849,8649,Snake toxin family,62,,Venom,,,Disulfide bond:4,,,,,,,,both,62,62,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
Q91132,8649,Contains 1 anaphylatoxin-like domain,1642,,Venom gland,,Glycoprotein; Thioester bond,Disulfide bond:13; Glycosylation:4; Cross-link:1,Yes,,,,,,,venom_tissue,1620,1258,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
Q01833,35670,Contains 1 anaphylatoxin-like domain,1651,,Liver,,Thioester bond,Disulfide bond:13; Cross-link:1,Yes,,,,,,,venom_tissue,1629,1267,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
Q9TWL9,6492,Phospholipase A2 family,77,,Venom,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,,,,,,,,both,77,77,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
Q9TWL8,6492,,42,,Venom,,,,,,,,,,,both,42,42,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
Q9XYR5,6491,,76,,Venom,,Glycoprotein; Pyrrolidone carboxylic acid,Glycosylation:1; Pyrrolidone carboxylic acid:1,Yes,Yes,,,,,,both,54,16,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine,marine
P05487,6493,Vasopressin/oxytocin family,9,,,,Amidation,Amidation:1; Disulfide bond:1,,,,,,,,venom_tissue,9,9,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P58784,41690,Contryphan family,63,,Venom duct,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,Yes,Yes,,,,,,both,40,8,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
Q9NDA7,6494,Contryphan family,63,,Venom duct,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Hydroxylation:1,Yes,Yes,,,,,,both,40,8,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P58785,41690,Contryphan family,8,,Venom,,D-amino acid,D-amino acid:1; Disulfide bond:1,,,,,,,,both,8,8,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
Q9NDA5,6494,Contryphan family,63,,Venom duct,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Hydroxylation:1,Yes,Yes,,,,,,both,42,8,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
Q9NDA6,6494,Contryphan family,63,,Venom duct,,Amidation; D-amino acid,Amidation:1; D-amino acid:1,Yes,Yes,,,,,,both,40,7,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P62903,42752,Contryphan family,63,,Venom; Venom duct,,Amidation; D-amino acid; Gamma-carboxyglutamic acid,Gamma-carboxyglutamic acid:2; Amidation:1; D-amino acid:1; Disulfide bond:1,Yes,Yes,,,,,,both,40,11,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
P58786,61198,Contryphan family,63,,Venom; Venom duct,,Amidation; Bromination; D-amino acid; Hydroxylation,Amidation:1; Bromination:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,Yes,Yes,,,,,,both,40,15,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
P58787,89452,Contryphan family,63,,Venom; Venom duct,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,Yes,Yes,,,,,,both,40,8,Conus stercusmuscarum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus stercusmuscarum,marine,marine
P83047,117992,Contryphan family,9,,Venom,,Amidation; D-amino acid,Amidation:1; D-amino acid:1; Disulfide bond:1,,,,,,,,both,9,9,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine,marine
P17237,7495,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Icaria sp.,Arthropoda,Insecta,Hymenoptera,Vespidae,Icaria,Icaria sp.,terrestrial,terrestrial
P17233,7449,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Vespa analis,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa analis,terrestrial,terrestrial
P01518,7445,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Vespa crabro,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,terrestrial,terrestrial
P17235,7452,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Vespula lewisii,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula lewisii,terrestrial,terrestrial
P17232,7446,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Vespa mandarinia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa mandarinia,terrestrial,terrestrial
P17236,7447,MCD family,14,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,14,14,Vespa orientalis,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa orientalis,terrestrial,terrestrial
P17231,7450,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Vespa tropica,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa tropica,terrestrial,terrestrial
P17234,7448,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,,,venom_tissue,13,13,Vespa simillima xanthoptera,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa simillima,terrestrial,terrestrial
P81991,29156,CRISP family,46,fragment,Venom,,,,,,,,,,,both,46,46,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q8UW25,8781,CRISP family,238,,Venom gland,,,,Yes,,,,,,,both,219,219,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
Q7T1K6,8656,CRISP family,239,,Venom,,,,Yes,,,,,,,both,221,221,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P81992,29156,CRISP family,28,fragment,Venom,,,,,,,,,,,both,28,28,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q8UW11,8781,CRISP family,238,,Venom gland,,,Disulfide bond:3,Yes,,,,,,,both,219,219,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
Q7ZZN8,8656,CRISP family,238,,Venom,,,,Yes,,,,,,,both,219,219,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q8JI40,242054,CRISP family,240,,Venom; Venom gland,,,,Yes,,,,,,,both,221,221,Gloydius blomhoffii,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,terrestrial,terrestrial
Q7ZTA0,8716,CRISP family,240,,Venom gland,,,,Yes,,,,,,,both,221,221,Agkistrodon piscivorus piscivorus,Chordata,Lepidosauria,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,terrestrial,terrestrial
P81990,8607,CRISP family,30,fragment,Venom,,,,,,,,,,,both,30,30,Aspidelaps scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Aspidelaps,Aspidelaps scutatus,terrestrial,terrestrial
P81993,92438,CRISP family,67,fragment,Venom,,,,,,,,,,,both,67,67,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
Q7ZT99,8730,CRISP family,240,,Venom gland,,,,Yes,,,,,,,both,221,221,Crotalus atrox,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus atrox,terrestrial,terrestrial
Q8JI38,8631,CRISP family,238,,Venom gland,,,,Yes,,,,,,,both,219,219,Laticauda semifasciata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda semifasciata,marine,marine
Q7ZT98,8665,CRISP family,239,,Venom gland,,,,Yes,,,,,,,both,221,221,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q8AVA4,8670,CRISP family,238,,Venom; Venom gland,,,,Yes,Yes,,,,,,both,219,211,Pseudechis australis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis australis,terrestrial,terrestrial
Q8AVA3,8671,CRISP family,238,,Venom; Venom gland,,,,Yes,Yes,,,,,,both,219,210,Pseudechis porphyriacus,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis porphyriacus,terrestrial,terrestrial
Q8JGT9,193080,CRISP family,237,,Venom; Venom gland,,,,Yes,,,,,,,both,219,219,Rhabdophis tigrinus tigrinus,Chordata,Lepidosauria,Squamata,Colubridae,Rhabdophis,Rhabdophis tigrinus,terrestrial,terrestrial
Q8JI39,88087,CRISP family,240,,Venom gland,,,,Yes,,,,,,,both,221,221,Protobothrops flavoviridis,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops flavoviridis,terrestrial,terrestrial
Q7ZZN9,135726,CRISP family,240,,Venom; Venom gland,,,,Yes,,,,,,,both,221,221,Protobothrops jerdonii,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops jerdonii,terrestrial,terrestrial
P79845,103944,CRISP family,240,,Venom gland,,,,Yes,,,,,,,both,221,221,Protobothrops mucrosquamatus,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops mucrosquamatus,terrestrial,terrestrial
P81995,101163,CRISP family,33,fragment,Venom,,,,,,,,,,,both,33,33,Trimeresurus purpureomaculatus,Chordata,Lepidosauria,Squamata,Viperidae,Trimeresurus,Trimeresurus purpureomaculatus,terrestrial,terrestrial
P60623,39682,CRISP family,233,fragment,Venom gland,,,,Yes,,,,,,,both,221,221,Trimeresurus stejnegeri,Chordata,Lepidosauria,Squamata,Viperidae,Trimeresurus,Trimeresurus stejnegeri,terrestrial,terrestrial
Q6HAA2,8732,Snake toxin myotoxin family,63,,Liver,,,Disulfide bond:3,Yes,,,,,,,venom_tissue,41,41,Crotalus durissus terrificus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus durissus,terrestrial,terrestrial
Q9W6W6,8656,Snake toxin family,82,,Liver,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q9GV72,78582,Jellyfish toxin family,450,,Cnidoblast,LD(50) is 20 ug/kg by intravenous injection into mice and 5 ug/kg by intraperitoneal injection into crayfish.,,,Yes,,,,,,,kw_toxin,432,432,Carybdea rastonii,Cnidaria,Cubozoa,Carybdeida,Carybdeidae,Carybdea,Carybdea rastonii,marine,marine
P60304,8656,Snake toxin family,81,,Liver; Venom; Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60305,8649,Snake toxin family,60,,Venom,,,Disulfide bond:4,,,,,,,,both,60,60,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
O93471,33626,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9PST4,33626,Snake toxin family,81,,Liver; Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9PST3,33626,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
O93472,33626,Snake toxin family,81,,Venom gland,,,Disulfide bond:3,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P01442,8656,Snake toxin family,81,,Liver; Venom; Venom gland,LD(50) is 2.1 mg/kg by intravenous injection.,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q9DGH9,8649,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P60306,8656,Snake toxin family,60,,Venom,,,Disulfide bond:4,,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60301,8656,Snake toxin family,81,,Liver; Venom; Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60302,33626,Snake toxin family,81,,Liver; Venom; Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
O93473,33626,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
O73856,33626,Snake toxin family,81,,Liver; Venom; Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9W6W9,8656,Snake toxin family,81,,Liver,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01443,8656,Snake toxin family,81,,Liver; Venom; Venom gland,LD(50) is 2.1 mg/kg by intravenous injection.,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60303,8649,Snake toxin family,81,,Venom; Venom gland,LD(50) is 1.48 mg/kg by intraperitoneal injection.,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
O73857,33626,Snake toxin family,81,,Liver; Venom; Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P60310,33626,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,60,60,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9PS34,8657,Snake toxin family,60,,,,,Disulfide bond:4,,,,,,,,both,60,60,Naja oxiana,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja oxiana,terrestrial,terrestrial
Q98965,8656,Snake toxin family,82,,Venom gland,,,Disulfide bond:4,Yes,,,,,,,both,61,61,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
