Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Signal peptide,Propeptide,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Mature_length,Active_length,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P01395,8621,Snake three-finger toxin family,73,,Venom,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V.",Disulfide bond,Disulfide bond:5,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,73,73,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial,terrestrial
A3FM53,8781,Snake three-finger toxin family,93,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,72,72,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
P01381,355677,Snake three-finger toxin family,72,,Venom,LD(50) is 0.096 mg/kg by intramuscular injection into mice.,Amidation; Disulfide bond,Disulfide bond:5; Amidation:1,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,72,72,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine,marine
P0CJ35,8667,Snake three-finger toxin family,28,fragment,Venom,LD(50) of the heterotrimer is 50-100 ug/kg to mice.,Disulfide bond,Disulfide bond:1,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0005246 (calcium channel regulator activity); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,28,28,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial,terrestrial
P85140,92438,Snake three-finger toxin family,73,,Venom,LD(50) is 0.16 ug/g by intravenous injection into mice.,Disulfide bond,Disulfide bond:5,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,73,73,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
A7X4Q3,111177,Snake three-finger toxin family,92,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,71,71,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
A7X4R0,111177,Snake three-finger toxin family,92,,Venom gland,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,71,71,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
Q9W7J5,8673,Snake three-finger toxin family,103,,Liver; Venom; Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,82,82,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
Q2VBP8,8665,Snake three-finger toxin family,94,,Venom gland,LD(50) is 0.51 mg/kg by intravenous injection into mice.,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,73,73,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q2VBP6,8665,Snake three-finger toxin family,94,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,73,73,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P15816,8616,Snake three-finger toxin family,87,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,66,66,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
P15817,8616,Snake three-finger toxin family,87,,Liver; Venom; Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,66,66,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
O12961,8616,Snake three-finger toxin family,87,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,66,66,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
O12962,8616,Snake three-finger toxin family,87,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,66,66,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
Q9W729,8616,Snake three-finger toxin family,87,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,66,66,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
Q8AY56,92438,Snake three-finger toxin family,87,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,66,66,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
Q8AY55,92438,Snake three-finger toxin family,87,,Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,66,66,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P01398,8616,Snake three-finger toxin family,87,,Liver; Venom; Venom gland,,Disulfide bond,Disulfide bond:5,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,66,66,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
P15815,8615,Snake three-finger toxin family,66,,Venom,,Disulfide bond,Disulfide bond:5,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,66,66,Bungarus flaviceps flaviceps,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus flaviceps,terrestrial,terrestrial
Q7T2I1,8630,Snake three-finger toxin family,82,fragment,Liver,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,62,62,Laticauda laticaudata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda laticaudata,marine,marine
Q8UW27,8781,Snake three-finger toxin family,81,,Venom gland,LD(50) is 0.2192 by intraperitoneal injection into mice.,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,60,60,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
E2ITZ3,8656,Snake three-finger toxin family,83,,Venom,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,62,62,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01412,8665,Snake three-finger toxin family,83,,Venom; Venom gland,LD(50) is >250 mg/kg by subcutaneous injection.,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0090729 (toxin activity),1: Evidence at protein level,both,62,62,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
C0HJI9,8613,Snake three-finger toxin family,25,fragment,Venom,,Disulfide bond,Disulfide bond:1,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,25,25,Bungarus fasciatus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus fasciatus,terrestrial,terrestrial
Q69CJ8,8665,Snake three-finger toxin family,83,,Venom gland,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,62,62,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P01434,8605,Snake three-finger toxin family,62,,Venom,LD(50) is 0.08 mg/kg by intramuscular injection into mice.,Disulfide bond,Disulfide bond:4,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,62,62,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial,terrestrial
P32879,8678,Snake three-finger toxin family,60,,Venom,LD(50) is 0.067 mg/kg by intramuscular injection into mice.,Disulfide bond,Disulfide bond:4,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,60,60,Aipysurus laevis,Chordata,Lepidosauria,Squamata,Elapidae,Aipysurus,Aipysurus laevis,marine,marine
A8S6A4,29156,Snake three-finger toxin family,81,,Venom gland,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,60,60,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
P10808,8613,Snake three-finger toxin family,64,,Venom,,Disulfide bond,Disulfide bond:4,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level,both,64,64,Bungarus fasciatus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus fasciatus,terrestrial,terrestrial
A8HDJ7,292442,Snake three-finger toxin family,81,,Venom gland,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,60,60,Cryptophis nigrescens,Chordata,Lepidosauria,Squamata,Elapidae,Cryptophis,Cryptophis nigrescens,terrestrial,terrestrial
A6MFK6,412038,Snake three-finger toxin family,84,,Venom gland,,Disulfide bond,Disulfide bond:4,Yes,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),,GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology,both,63,63,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial,terrestrial
