identifier,Protein families,Phylum,has_signal_peptide
D2Y2H7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2C9,Other,Arthropoda,yes
D2Y2H0,Other,Arthropoda,yes
D2Y2D0,Other,Arthropoda,yes
D2Y204,Other,Arthropoda,yes
A3QVN9,Other,Chordata,yes
A3QVN3,Other,Chordata,yes
P86100,Other,Arthropoda,yes
A3QVP0,Other,Chordata,yes
W0HFN9,Other,Arthropoda,yes
A3QVN4,Other,Chordata,yes
P0C251,Other,Mollusca,yes
D6C4H9,Other,Mollusca,yes
P0C253,Other,Mollusca,yes
Q7Z0A6,Other,Mollusca,no
P0DW72,Other,Mollusca,yes
D6C4I0,Other,Mollusca,yes
P0C613,Other,Mollusca,no
Q7Z090,Other,Mollusca,yes
S4UKA9,Other,Mollusca,yes
A0A0B5ADT3,Other,Mollusca,yes
A0A0B5A7N5,Other,Mollusca,yes
A0A0B5A8P8,Other,Mollusca,yes
A0A3S9V8K6,Other,Mollusca,yes
A0A3S9V8L9,Other,Mollusca,yes
A0A0B5A8P4,Other,Mollusca,yes
A0A0B5AC86,Other,Mollusca,yes
A0A0B5ABD5,Other,Mollusca,yes
B3EWQ0,Other,Arthropoda,no
P0C247,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P0CI84,Short scorpion toxin superfamily,Arthropoda,yes
A0A059UEE4,Short scorpion toxin superfamily,Arthropoda,yes
R4GUQ3,Short scorpion toxin superfamily,Arthropoda,yes
D9U2A6,Short scorpion toxin superfamily,Arthropoda,yes
R4GUQ1,Short scorpion toxin superfamily,Arthropoda,yes
P0CI86,Short scorpion toxin superfamily,Arthropoda,yes
P0DL33,Short scorpion toxin superfamily,Arthropoda,yes
P0DL34,Short scorpion toxin superfamily,Arthropoda,yes
P0DL35,Short scorpion toxin superfamily,Arthropoda,yes
P0DL62,Short scorpion toxin superfamily,Arthropoda,no
Q9NII7,Short scorpion toxin superfamily,Arthropoda,yes
P55896,Short scorpion toxin superfamily,Arthropoda,no
P59886,Short scorpion toxin superfamily,Arthropoda,no
P59290,Short scorpion toxin superfamily,Arthropoda,no
P0C908,Short scorpion toxin superfamily,Arthropoda,yes
P0C909,Short scorpion toxin superfamily,Arthropoda,no
P0C8R1,Short scorpion toxin superfamily,Arthropoda,no
P86396,Short scorpion toxin superfamily,Arthropoda,no
K7XFK5,Short scorpion toxin superfamily,Arthropoda,yes
P0DL44,Short scorpion toxin superfamily,Arthropoda,no
C0HJQ4,Short scorpion toxin superfamily,Arthropoda,yes
C0HJQ6,Short scorpion toxin superfamily,Arthropoda,no
P0DUK8,Short scorpion toxin superfamily,Arthropoda,no
P46114,Short scorpion toxin superfamily,Arthropoda,yes
P56219,Short scorpion toxin superfamily,Arthropoda,yes
P59925,Short scorpion toxin superfamily,Arthropoda,no
P60210,Short scorpion toxin superfamily,Arthropoda,no
Q5G8B6,Short scorpion toxin superfamily,Arthropoda,yes
P0CB56,Short scorpion toxin superfamily,Arthropoda,no
Q86QT3,Other,Arthropoda,yes
Q86QV6,Other,Arthropoda,no
Q86QV3,Other,Arthropoda,no
Q86QU6,Other,Arthropoda,no
C0HK42,Other,Arthropoda,no
C0HK43,Other,Arthropoda,no
C0HK44,Other,Arthropoda,no
B3EWF2,Other,Arthropoda,yes
B3EWF3,Other,Arthropoda,yes
C0HK45,Other,Arthropoda,no
B3EWF4,Other,Arthropoda,yes
P0DV16,Other,Arthropoda,no
P82421,Other,Arthropoda,no
P0DSJ3,Other,Arthropoda,no
C0HK46,Other,Arthropoda,no
B3EWF5,Other,Arthropoda,yes
P82422,Other,Arthropoda,no
C0HK47,Other,Arthropoda,no
B3EWF6,Other,Arthropoda,yes
P0DPK8,Other,Mollusca,no
P0DPK9,Other,Mollusca,no
P0DPL0,Other,Mollusca,no
P0C1N2,Other,Mollusca,yes
P0C1N3,Other,Mollusca,yes
Q2I2Q1,Other,Mollusca,yes
P0DX34,Other,Arthropoda,no
P0DQZ6,Other,Arthropoda,yes
P0DQZ7,Other,Arthropoda,yes
P0DQZ8,Other,Arthropoda,yes
P0DQZ9,Other,Arthropoda,yes
P0DX46,Other,Arthropoda,no
D1MEI7,Other,Arthropoda,yes
P0C1M6,Other,Arthropoda,no
P0DRA5,Other,Arthropoda,no
P0C1M4,Other,Arthropoda,no
D1MEI8,Other,Arthropoda,yes
P0C1M7,Other,Arthropoda,no
P0DRA6,Other,Arthropoda,no
P0C1M5,Other,Arthropoda,no
P0C5G7,Other,Arthropoda,no
P0CJ39,Other,Arthropoda,no
P59853,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
C0HJV7,Other,Arthropoda,yes
P60273,Other,Arthropoda,no
Q7YT39,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P0DQU4,Other,Arthropoda,no
P0DX65,,Arthropoda,no
P0DTX7,Conotoxin O1 superfamily,Mollusca,yes
Q9U655,Conotoxin O1 superfamily,Mollusca,yes
P18512,Conotoxin O1 superfamily,Mollusca,yes
Q9U659,Conotoxin O1 superfamily,Mollusca,yes
Q9U654,Conotoxin O1 superfamily,Mollusca,yes
Q3YED8,Conotoxin O1 superfamily,Mollusca,yes
Q5K0D3,Conotoxin O1 superfamily,Mollusca,yes
Q9U645,Conotoxin O1 superfamily,Mollusca,yes
Q9U648,Conotoxin O1 superfamily,Mollusca,yes
Q9XZK9,Conotoxin O1 superfamily,Mollusca,yes
F8S0Z5,Other,Chordata,yes
X2JCV5,Other,Chordata,yes
P0CC17,Other,Chordata,yes
Q6Q252,Other,Arthropoda,yes
P0DMB4,Other,Arthropoda,yes
P53357,Other,Arthropoda,no
P0DMB5,Other,Arthropoda,yes
P00598,Phospholipase A2 family,Chordata,yes
P00596,Phospholipase A2 family,Chordata,yes
P00602,Phospholipase A2 family,Chordata,no
P80966,Phospholipase A2 family,Chordata,yes
P00625,Phospholipase A2 family,Chordata,yes
P06859,Phospholipase A2 family,Chordata,yes
Q91506,Phospholipase A2 family,Chordata,no
Q9W7J4,Phospholipase A2 family,Chordata,yes
Q45Z30,Phospholipase A2 family,Chordata,yes
Q910A1,Phospholipase A2 family,Chordata,yes
F8QN52,Phospholipase A2 family,Chordata,yes
P07037,Phospholipase A2 family,Chordata,no
P00621,Phospholipase A2 family,Chordata,no
P86389,Phospholipase A2 family,Chordata,no
Q7T2Q4,Phospholipase A2 family,Chordata,yes
P0CAS0,Phospholipase A2 family,Chordata,yes
P81478,Phospholipase A2 family,Chordata,no
P86803,Phospholipase A2 family,Chordata,no
P0C8M1,Phospholipase A2 family,Chordata,no
Q8QFW4,Phospholipase A2 family,Chordata,yes
Q90WA7,Phospholipase A2 family,Chordata,yes
Q7T1R0,Phospholipase A2 family,Chordata,yes
P00617,Phospholipase A2 family,Chordata,yes
P62023,Phospholipase A2 family,Chordata,yes
A8CG89,Phospholipase A2 family,Chordata,yes
A8CG82,Phospholipase A2 family,Chordata,yes
P00595,Phospholipase A2 family,Chordata,no
P0C942,Phospholipase A2 family,Chordata,no
Q8UUI0,Phospholipase A2 family,Chordata,yes
C0HKB9,Phospholipase A2 family,Chordata,no
Q10755,Phospholipase A2 family,Chordata,no
P31854,Phospholipase A2 family,Chordata,yes
F8QN54,Phospholipase A2 family,Chordata,yes
Q7M3V4,,Arthropoda,no
Q7M3V3,,Arthropoda,no
P84032,,Arthropoda,no
P0DM12,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DM13,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P84033,Peptidase S1 family,Arthropoda,no
J3S9D9,Other,Chordata,yes
Q9GYX2,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q9GUA7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q4TUA4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
H1ZZI8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q2YHM1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
M1JMR8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q7YXD3,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0CH40,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q9TWL0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q95WD1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0DL83,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P54135,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
B7SNV8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q1I163,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
H1ZZH7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
H1ZZI9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
C0HLG5,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P04099,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PG6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P23807,Other,Chordata,yes
Q6X5S4,Other,Chordata,yes
Q8JIV9,Other,Chordata,yes
B4XSY4,Other,Chordata,yes
P81111,Other,Chordata,no
Q8AYA5,Other,Chordata,yes
B4XSZ2,Other,Chordata,yes
Q09GK0,Other,Chordata,yes
D1MGU1,Other,Chordata,yes
P0DJL3,Other,Chordata,no
Q9DEA2,Other,Chordata,yes
Q9DEA1,Other,Chordata,yes
W5XDM0,Other,Chordata,yes
W5XCJ6,Other,Chordata,yes
P86716,Other,Arthropoda,yes
P86717,Other,Arthropoda,yes
P0DJK0,Other,Chordata,yes
Q5Y4V8,Other,Arthropoda,yes
A0A1D0C027,Other,Arthropoda,yes
Q5Y4Y2,Other,Arthropoda,yes
Q5Y4Y0,Other,Arthropoda,yes
Q5Y4X9,Other,Arthropoda,yes
Q5Y4X7,Other,Arthropoda,yes
Q5Y4X6,Other,Arthropoda,yes
Q5Y4X5,Other,Arthropoda,yes
Q5Y4X4,Other,Arthropoda,yes
Q5Y4X3,Other,Arthropoda,yes
Q5Y4X2,Other,Arthropoda,yes
Q5Y4X1,Other,Arthropoda,yes
Q5Y4X0,Other,Arthropoda,yes
Q5Y4W9,Other,Arthropoda,yes
Q5Y4W8,Other,Arthropoda,yes
Q5Y4W7,Other,Arthropoda,yes
Q5Y4W6,Other,Arthropoda,yes
Q5Y4W5,Other,Arthropoda,yes
Q5Y4W4,Other,Arthropoda,yes
Q5Y4W3,Other,Arthropoda,yes
Q5Y4W2,Other,Arthropoda,yes
A0A452CSQ9,Other,Arthropoda,yes
P0DN63,Other,Mollusca,yes
P0DN64,Other,Mollusca,yes
S0F1M6,Other,Arthropoda,yes
S0F207,Other,Arthropoda,yes
S0F209,Other,Arthropoda,yes
P0DMD6,Other,Arthropoda,no
P0DPW5,Other,Arthropoda,yes
P0DPW4,Other,Arthropoda,yes
P0DSJ4,Other,Arthropoda,yes
A0A348G6I7,Other,Arthropoda,yes
P0DPW3,Other,Arthropoda,yes
P0C292,Other,Arthropoda,yes
B6DCK9,Other,Arthropoda,yes
B6DCL0,Other,Arthropoda,yes
B6DCL1,Other,Arthropoda,yes
B6DCL2,Other,Arthropoda,yes
B6DCL3,Other,Arthropoda,yes
B6DCL4,Other,Arthropoda,yes
B6DCL5,Other,Arthropoda,yes
B6DCL6,Other,Arthropoda,yes
B6DCL7,Other,Arthropoda,yes
B6DCL8,Other,Arthropoda,yes
A0A6G9KHD3,,Arthropoda,yes
P0DSJ5,Other,Arthropoda,yes
A0A8U0LTN3,Other,Arthropoda,yes
P0C2S6,Other,Arthropoda,yes
A0A8U0LTM5,Other,Arthropoda,yes
A0A8U0LU66,Other,Arthropoda,yes
W4VSI7,Other,Arthropoda,yes
A0A8U0LTT9,Other,Arthropoda,yes
W4VS32,Other,Arthropoda,yes
W4VRV1,Other,Arthropoda,yes
W4VRX3,Other,Arthropoda,yes
W4VSI6,Other,Arthropoda,yes
W4VSB2,Other,Arthropoda,yes
P0C295,Other,Arthropoda,no
P83915,Other,Arthropoda,no
P83559,Other,Arthropoda,no
P34079,Other,Arthropoda,no
P36988,Other,Arthropoda,no
P0DRD2,Other,Arthropoda,yes
P0DXT6,Other,Arthropoda,yes
A0A6M3Z4R1,,Arthropoda,yes
P0DXT7,Other,Arthropoda,yes
P84509,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
Q6B4T3,Other,Arthropoda,yes
P84510,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DM67,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P83747,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B6DCT3,Other,Arthropoda,yes
B6DCT4,Other,Arthropoda,yes
B6DCT5,Other,Arthropoda,yes
B6DCT6,Other,Arthropoda,yes
B6DCT7,Other,Arthropoda,yes
B6DCT8,Other,Arthropoda,yes
A0A023W123,Other,Arthropoda,yes
P0DPW9,Other,Arthropoda,yes
P0DPZ6,Other,Arthropoda,yes
P0DPU4,Other,Arthropoda,yes
P0DPZ4,Other,Arthropoda,yes
P0DPZ7,Other,Arthropoda,yes
P0DQA5,Other,Arthropoda,yes
P0DPZ8,Other,Arthropoda,yes
I6S7G5,Other,Arthropoda,yes
P0DPZ9,Other,Arthropoda,yes
P0DQA1,Other,Arthropoda,yes
P0DQA2,Other,Arthropoda,yes
B6DD07,Other,Arthropoda,yes
B6DD08,Other,Arthropoda,yes
B6DD09,Other,Arthropoda,yes
B6DD11,Other,Arthropoda,yes
B6DD12,Other,Arthropoda,yes
B3FIV1,Other,Arthropoda,yes
B6DD13,Other,Arthropoda,yes
P0DQE0,Other,Arthropoda,yes
P0DQC8,Other,Arthropoda,yes
P0DQC9,Other,Arthropoda,yes
P0DQD0,Other,Arthropoda,yes
P0DQG2,Other,Arthropoda,yes
P0DQG3,Other,Arthropoda,yes
P0DQG4,Other,Arthropoda,yes
P0DQG5,Other,Arthropoda,yes
P0DQG6,Other,Arthropoda,yes
P0DQG7,Other,Arthropoda,yes
P68424,Other,Arthropoda,yes
P0DQE4,Other,Arthropoda,yes
P56676,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P82959,Other,Arthropoda,yes
P82960,Other,Arthropoda,no
Q86C49,Other,Arthropoda,yes
P0DQE5,Other,Arthropoda,yes
P0DQE6,Other,Arthropoda,yes
P61103,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P86269,Other,Arthropoda,no
P0DQN3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P83480,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B3EWH0,Other,Arthropoda,no
P83476,Other,Arthropoda,no
P61233,Other,Arthropoda,no
P61232,Other,Arthropoda,no
P0DL75,Other,Arthropoda,yes
B3EWU1,Other,Arthropoda,no
B3EWU2,Other,Arthropoda,no
B3EWU3,Other,Arthropoda,no
B3EWU4,Other,Arthropoda,no
B3EWU5,Other,Arthropoda,no
B3EWU6,Other,Arthropoda,no
B3EWU8,Other,Arthropoda,no
P0DJ08,,Arthropoda,yes
P0DUT2,Other,Arthropoda,yes
P35777,Other,Arthropoda,yes
P35781,Other,Arthropoda,no
P10736,Other,Arthropoda,yes
D4P2Y4,Other,Arthropoda,no
P35782,Other,Arthropoda,no
P0DPU2,Other,Arthropoda,yes
P0DPU0,Other,Arthropoda,yes
P0DPV2,Other,Arthropoda,yes
P0DPU1,Other,Arthropoda,yes
B2ZBB6,Venom Kunitz-type family,Arthropoda,yes
P0C8W3,Venom Kunitz-type family,Arthropoda,yes
P0DMJ6,Venom Kunitz-type family,Chordata,no
P0DJ47,Venom Kunitz-type family,Arthropoda,no
P0DJ79,Venom Kunitz-type family,Arthropoda,yes
F8J2F4,Venom Kunitz-type family,Chordata,yes
F8J2F6,Venom Kunitz-type family,Chordata,yes
Q589G4,Venom Kunitz-type family,Arthropoda,yes
D2Y488,Venom Kunitz-type family,Mollusca,yes
P68425,Venom Kunitz-type family,Arthropoda,yes
B4ESA2,Venom Kunitz-type family,Chordata,yes
Q90W99,Venom Kunitz-type family,Chordata,yes
P00992,Venom Kunitz-type family,Chordata,yes
C1IC51,Venom Kunitz-type family,Chordata,yes
P0DJ84,Venom Kunitz-type family,Arthropoda,yes
P0DJ68,Venom Kunitz-type family,Arthropoda,yes
P0DJ85,Venom Kunitz-type family,Arthropoda,yes
B5KL41,Venom Kunitz-type family,Chordata,yes
B5KL35,Venom Kunitz-type family,Chordata,yes
D2Y2F5,Venom Kunitz-type family,Arthropoda,yes
P0DJ76,Venom Kunitz-type family,Arthropoda,yes
Q2ES47,Venom Kunitz-type family,Chordata,yes
A6MFL4,Venom Kunitz-type family,Chordata,yes
B5KL28,Venom Kunitz-type family,Chordata,yes
B5KL30,Venom Kunitz-type family,Chordata,yes
Q6ITB8,Venom Kunitz-type family,Chordata,yes
Q90W98,Venom Kunitz-type family,Chordata,yes
C1IC53,Venom Kunitz-type family,Chordata,yes
P20897,Venom metalloproteinase (M12B) family,Chordata,no
P22796,Venom metalloproteinase (M12B) family,Chordata,no
P0CB14,Venom metalloproteinase (M12B) family,Chordata,yes
P84907,Venom metalloproteinase (M12B) family,Chordata,no
Q2EI26,Venom metalloproteinase (M12B) family,Chordata,yes
C0HM67,Venom metalloproteinase (M12B) family,Chordata,no
U3KRG1,Venom metalloproteinase (M12B) family,Chordata,no
P20165,Venom metalloproteinase (M12B) family,Chordata,no
B7U492,Venom metalloproteinase (M12B) family,Chordata,yes
Q8JJ51,Venom metalloproteinase (M12B) family,Chordata,yes
C0LZJ5,Venom metalloproteinase (M12B) family,Chordata,no
Q10749,Venom metalloproteinase (M12B) family,Chordata,yes
Q3HTN1,Venom metalloproteinase (M12B) family,Chordata,yes
Q3HTN2,Venom metalloproteinase (M12B) family,Chordata,yes
Q2LD49,Venom metalloproteinase (M12B) family,Chordata,yes
Q9DGB9,Venom metalloproteinase (M12B) family,Chordata,yes
C9E1S0,Venom metalloproteinase (M12B) family,Chordata,yes
C9E1R8,Venom metalloproteinase (M12B) family,Chordata,yes
A4PBQ9,Venom metalloproteinase (M12B) family,Chordata,yes
Q4VM08,Venom metalloproteinase (M12B) family,Chordata,yes
Q90282,Venom metalloproteinase (M12B) family,Chordata,yes
Q4VM07,Venom metalloproteinase (M12B) family,Chordata,yes
P83224,Other,Chordata,no
P83226,Other,Chordata,no
P83225,Other,Chordata,no
P83227,Other,Chordata,no
P83229,Other,Chordata,no
P83228,Other,Chordata,yes
P83230,Other,Chordata,no
P83231,Other,Chordata,no
Q3SAF8,Other,Chordata,no
P0CJ05,,Arthropoda,yes
P0CJ08,,Arthropoda,yes
P33589,Peptidase S1 family,Chordata,no
P0C5B4,Peptidase S1 family,Chordata,yes
P18965,Peptidase S1 family,Chordata,yes
Q8UVX1,Peptidase S1 family,Chordata,yes
Q6T6S7,Peptidase S1 family,Chordata,yes
Q9DF68,Peptidase S1 family,Chordata,yes
Q8AY82,Peptidase S1 family,Chordata,yes
A0A1I9KNP0,Peptidase S1 family,Chordata,yes
Q9YGJ9,Peptidase S1 family,Chordata,yes
Q9PT40,Peptidase S1 family,Chordata,yes
Q71QJ4,Peptidase S1 family,Chordata,yes
Q71QI0,Peptidase S1 family,Chordata,yes
O13060,Peptidase S1 family,Chordata,yes
Q5MCS0,Peptidase S1 family,Chordata,yes
Q5W958,Peptidase S1 family,Chordata,yes
Q7T229,Peptidase S1 family,Chordata,yes
B5KGY9,Other,Chordata,yes
B5G6H1,Other,Chordata,yes
B5L5P8,Other,Chordata,yes
B5G6H3,Other,Chordata,yes
B5G6H4,Other,Chordata,yes
P83952,Other,Chordata,no
B5G6G8,Other,Chordata,yes
B5G6G9,Other,Chordata,yes
B5G6H0,Other,Chordata,yes
B5L5P9,Other,Chordata,yes
B5G6H2,Other,Chordata,yes
B5L5P2,Other,Chordata,yes
B5L5N6,Other,Chordata,yes
B5L5P5,Other,Chordata,yes
B5G6H5,Other,Chordata,yes
