identifier,Protein families,Fragment,Phylum,Habitat,Class,Order
P01382,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01384,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01387,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2F2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P34074,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
B2BRQ6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C5ILC5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0DKW9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8N285,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8S6B0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A1IVR9,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01397,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01395,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A3FM53,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01381,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01388,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25669,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01386,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B55,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B53,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q53B59,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A1IVR7,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P25667,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8UW28,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P25671,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P07526,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2D7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJD7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25672,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P80156,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B58,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B57,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B56,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25673,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P80965,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P82662,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O42257,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86522,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q7T3J2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
D2N116,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P0C8R7,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0C8R8,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P13495,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P34073,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P14612,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q7T2I3,Snake three-finger toxin family,fragment,Chordata,marine,Lepidosauria,Squamata
P0CJ35,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P85140,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X4Q3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X4R0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7J5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15816,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15817,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O12961,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O12962,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W729,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY56,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY55,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01398,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15815,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X3S0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X3S2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X3V0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0C603,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
A0S864,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A0S865,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P83490,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q06ZW0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJD3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY51,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGI2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJW9,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY50,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C6JUP2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGI4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY49,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGI1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q6IZ95,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBN2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P29179,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O42255,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C1IC49,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P29180,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O42256,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P29181,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A2CKF6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P29182,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q802B3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25679,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7I3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25680,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q802B2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01401,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01400,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01399,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O93422,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60814,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A2CKF7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P82935,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P85520,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B61,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q70WS8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P58370,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15818,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P81783,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGH9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O12963,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGJ0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGH0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8JFX7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9PW19,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25682,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P81782,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJT4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HKZ8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X3M9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X3R6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJR1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJR2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86096,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86423,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86098,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86424,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86099,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01419,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q7T2I1,Snake three-finger toxin family,fragment,Chordata,marine,Lepidosauria,Squamata
Q8UW27,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01412,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJI9,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q69CJ8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01434,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P32879,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
A8S6A4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P10808,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDJ7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01417,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01416,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01418,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01425,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDJ9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25494,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P68416,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01437,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P68413,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q5UFR8,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P68415,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P68412,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGC2,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P86420,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
K9MCH1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P80548,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86095,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P34075,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P34076,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P68417,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P68418,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01424,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01431,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P68419,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01427,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01426,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60773,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60774,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q45Z11,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25497,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDJ4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDJ5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2G3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0CAR4,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P19959,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
A8HDJ8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01433,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P62376,Snake three-finger toxin family,fragment,Chordata,marine,Lepidosauria,Squamata
Q8UW26,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q5UFR7,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P10457,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGW9,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01422,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25675,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01423,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0CB06,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDJ6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2G5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P19958,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGC4,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P86422,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86097,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01420,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01432,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9PSN6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X4R5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C1IC47,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P19960,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGX0,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGW8,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01421,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X4S0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C1IC48,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F5CPD5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F5CPD6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F5CPD7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F5CPD8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F5CPD9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P62389,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGC7,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P60772,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F5CPE4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86425,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGJ6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9YGJ5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O57326,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O57327,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P62388,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0CG02,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P25495,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P14613,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P82849,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25496,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P10459,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P59275,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60770,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60771,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9PTT0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P80958,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P10455,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P10458,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P10460,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P59276,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0CAR1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P10456,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0CAR3,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P0CAR5,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P60775,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q90VW1,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q7T2I5,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
Q9YGX1,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0C555,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7K2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7K1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P59072,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P59073,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7K0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7J9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7J7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7J6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q02454,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0DMV6,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q98957,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q98956,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P79810,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q98958,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P85429,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P0C5H4,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P60304,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01455,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0CH80,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01448,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01467,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01447,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01456,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01451,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01468,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O93471,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86538,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9PST4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9PST3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O93472,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01442,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01462,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9DGH9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01469,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01440,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01463,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01441,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q98959,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86539,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q98960,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q98962,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60301,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01459,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01446,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01470,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P24780,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01458,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60302,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O93473,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
