identifier,Protein families,Phylum,has_signal_peptide
P25671,Snake three-finger toxin family,Chordata,no
P07526,Snake three-finger toxin family,Chordata,no
F8J2D7,Snake three-finger toxin family,Chordata,yes
F8J2E5,Snake three-finger toxin family,Chordata,yes
C0HJD7,Snake three-finger toxin family,Chordata,no
P0DQQ2,Snake three-finger toxin family,Chordata,no
P25672,Snake three-finger toxin family,Chordata,no
P80156,Snake three-finger toxin family,Chordata,no
Q53B58,Snake three-finger toxin family,Chordata,yes
Q53B57,Snake three-finger toxin family,Chordata,yes
Q53B56,Snake three-finger toxin family,Chordata,yes
P25673,Snake three-finger toxin family,Chordata,no
P80965,Snake three-finger toxin family,Chordata,no
P82662,Snake three-finger toxin family,Chordata,yes
F8J2E1,Snake three-finger toxin family,Chordata,yes
F8J2E2,Snake three-finger toxin family,Chordata,yes
C0HM09,Snake three-finger toxin family,Chordata,no
O42257,Snake three-finger toxin family,Chordata,yes
Q7T3J2,Snake three-finger toxin family,Chordata,yes
P0C8R7,Snake three-finger toxin family,Chordata,no
P0C8R8,Snake three-finger toxin family,Chordata,no
P13495,Snake three-finger toxin family,Chordata,no
P34073,Snake three-finger toxin family,Chordata,no
P14612,Snake three-finger toxin family,Chordata,yes
P85140,Snake three-finger toxin family,Chordata,no
A7X4Q3,Snake three-finger toxin family,Chordata,yes
A7X4R0,Snake three-finger toxin family,Chordata,yes
Q9W7J5,Snake three-finger toxin family,Chordata,yes
Q2VBP8,Snake three-finger toxin family,Chordata,yes
Q2VBP6,Snake three-finger toxin family,Chordata,yes
P15816,Snake three-finger toxin family,Chordata,yes
P15817,Snake three-finger toxin family,Chordata,yes
O12961,Snake three-finger toxin family,Chordata,yes
O12962,Snake three-finger toxin family,Chordata,yes
Q9W729,Snake three-finger toxin family,Chordata,yes
Q8AY56,Snake three-finger toxin family,Chordata,yes
Q8AY55,Snake three-finger toxin family,Chordata,yes
P01398,Snake three-finger toxin family,Chordata,yes
P15815,Snake three-finger toxin family,Chordata,no
A0A346CIB2,Snake three-finger toxin family,Chordata,yes
A0A346CIB0,Snake three-finger toxin family,Chordata,yes
A7X3S0,Snake three-finger toxin family,Chordata,yes
A7X3S2,Snake three-finger toxin family,Chordata,yes
A7X3V0,Snake three-finger toxin family,Chordata,yes
A0S864,Snake three-finger toxin family,Chordata,yes
A0A346CIA0,Snake three-finger toxin family,Chordata,yes
A0S865,Snake three-finger toxin family,Chordata,yes
P83490,Snake three-finger toxin family,Chordata,no
A0A346CIB3,Snake three-finger toxin family,Chordata,yes
Q06ZW0,Snake three-finger toxin family,Chordata,yes
C0HJD3,Snake three-finger toxin family,Chordata,no
Q8AY51,Snake three-finger toxin family,Chordata,yes
Q9YGI2,Snake three-finger toxin family,Chordata,yes
Q8AY50,Snake three-finger toxin family,Chordata,yes
C6JUP2,Snake three-finger toxin family,Chordata,yes
Q9YGI4,Snake three-finger toxin family,Chordata,yes
Q8AY49,Snake three-finger toxin family,Chordata,yes
Q9YGI1,Snake three-finger toxin family,Chordata,yes
Q6IZ95,Snake three-finger toxin family,Chordata,yes
Q2VBN2,Snake three-finger toxin family,Chordata,yes
P29179,Snake three-finger toxin family,Chordata,no
O42255,Snake three-finger toxin family,Chordata,yes
C1IC49,Snake three-finger toxin family,Chordata,yes
P29180,Snake three-finger toxin family,Chordata,no
O42256,Snake three-finger toxin family,Chordata,yes
P29181,Snake three-finger toxin family,Chordata,no
A2CKF6,Snake three-finger toxin family,Chordata,yes
P29182,Snake three-finger toxin family,Chordata,no
Q802B3,Snake three-finger toxin family,Chordata,yes
P25679,Snake three-finger toxin family,Chordata,no
Q9W7I3,Snake three-finger toxin family,Chordata,yes
P25680,Snake three-finger toxin family,Chordata,no
Q802B2,Snake three-finger toxin family,Chordata,yes
P01401,Snake three-finger toxin family,Chordata,no
P01400,Snake three-finger toxin family,Chordata,no
P01399,Snake three-finger toxin family,Chordata,no
O93422,Snake three-finger toxin family,Chordata,yes
P60814,Snake three-finger toxin family,Chordata,yes
P0DSM9,Snake three-finger toxin family,Chordata,no
A2CKF7,Snake three-finger toxin family,Chordata,yes
P82935,Snake three-finger toxin family,Chordata,yes
P85520,Snake three-finger toxin family,Chordata,no
Q70WS8,Snake three-finger toxin family,Chordata,yes
P58370,Snake three-finger toxin family,Chordata,yes
P15818,Snake three-finger toxin family,Chordata,yes
P81783,Snake three-finger toxin family,Chordata,yes
Q9YGH9,Snake three-finger toxin family,Chordata,yes
O12963,Snake three-finger toxin family,Chordata,yes
Q9YGJ0,Snake three-finger toxin family,Chordata,yes
Q9YGH0,Snake three-finger toxin family,Chordata,yes
Q8JFX7,Snake three-finger toxin family,Chordata,yes
Q9PW19,Snake three-finger toxin family,Chordata,yes
P25682,Snake three-finger toxin family,Chordata,no
P81782,Snake three-finger toxin family,Chordata,no
C0HJT4,Snake three-finger toxin family,Chordata,no
C0HKZ8,Snake three-finger toxin family,Chordata,no
A7X3M9,Snake three-finger toxin family,Chordata,yes
A7X3R6,Snake three-finger toxin family,Chordata,yes
C0HJR1,Snake three-finger toxin family,Chordata,no
A7X3M3,Snake three-finger toxin family,Chordata,yes
C0HJR2,Snake three-finger toxin family,Chordata,no
P86096,Snake three-finger toxin family,Chordata,no
A5X2W8,Snake three-finger toxin family,Chordata,yes
A7X6J0,Snake three-finger toxin family,Chordata,yes
P86423,Snake three-finger toxin family,Chordata,no
P86098,Snake three-finger toxin family,Chordata,no
P86424,Snake three-finger toxin family,Chordata,no
P86099,Snake three-finger toxin family,Chordata,no
A7X6I4,Snake three-finger toxin family,Chordata,yes
P01419,Snake three-finger toxin family,Chordata,no
Q8UW27,Snake three-finger toxin family,Chordata,yes
E2ITZ3,Snake three-finger toxin family,Chordata,yes
P01412,Snake three-finger toxin family,Chordata,yes
Q69CJ8,Snake three-finger toxin family,Chordata,yes
P01434,Snake three-finger toxin family,Chordata,no
P32879,Snake three-finger toxin family,Chordata,no
A8S6A4,Snake three-finger toxin family,Chordata,yes
P10808,Snake three-finger toxin family,Chordata,no
A8HDJ7,Snake three-finger toxin family,Chordata,yes
A6MFK6,Snake three-finger toxin family,Chordata,yes
P01417,Snake three-finger toxin family,Chordata,no
P01416,Snake three-finger toxin family,Chordata,no
P01418,Snake three-finger toxin family,Chordata,no
P01425,Snake three-finger toxin family,Chordata,no
A8HDJ9,Snake three-finger toxin family,Chordata,yes
P25494,Snake three-finger toxin family,Chordata,no
P68416,Snake three-finger toxin family,Chordata,yes
P01437,Snake three-finger toxin family,Chordata,no
P68413,Snake three-finger toxin family,Chordata,no
Q5UFR8,Snake three-finger toxin family,Chordata,yes
P68415,Snake three-finger toxin family,Chordata,no
P68412,Snake three-finger toxin family,Chordata,no
Q9YGC2,Snake three-finger toxin family,Chordata,yes
K9MCH1,Snake three-finger toxin family,Chordata,yes
P80548,Snake three-finger toxin family,Chordata,no
P86095,Snake three-finger toxin family,Chordata,no
P34075,Snake three-finger toxin family,Chordata,no
P34076,Snake three-finger toxin family,Chordata,no
P68417,Snake three-finger toxin family,Chordata,no
P68418,Snake three-finger toxin family,Chordata,no
P01424,Snake three-finger toxin family,Chordata,no
P01431,Snake three-finger toxin family,Chordata,no
P68419,Snake three-finger toxin family,Chordata,no
P01427,Snake three-finger toxin family,Chordata,no
P01426,Snake three-finger toxin family,Chordata,no
P60773,Snake three-finger toxin family,Chordata,no
P60774,Snake three-finger toxin family,Chordata,no
A8HDK0,Snake three-finger toxin family,Chordata,yes
Q45Z11,Snake three-finger toxin family,Chordata,yes
P25497,Snake three-finger toxin family,Chordata,yes
P0DXT0,Snake three-finger toxin family,Chordata,no
A8HDJ4,Snake three-finger toxin family,Chordata,yes
A8HDJ5,Snake three-finger toxin family,Chordata,yes
F8J2G3,Snake three-finger toxin family,Chordata,yes
P19959,Snake three-finger toxin family,Chordata,yes
A8HDJ8,Snake three-finger toxin family,Chordata,yes
P01433,Snake three-finger toxin family,Chordata,no
Q8UW26,Snake three-finger toxin family,Chordata,yes
Q5UFR7,Snake three-finger toxin family,Chordata,yes
P10457,Snake three-finger toxin family,Chordata,yes
Q9YGW9,Snake three-finger toxin family,Chordata,yes
P01422,Snake three-finger toxin family,Chordata,no
P25675,Snake three-finger toxin family,Chordata,no
C0HM08,Snake three-finger toxin family,Chordata,no
P01423,Snake three-finger toxin family,Chordata,no
P0CB06,Snake three-finger toxin family,Chordata,no
A8HDJ6,Snake three-finger toxin family,Chordata,yes
F8J2G5,Snake three-finger toxin family,Chordata,yes
P19958,Snake three-finger toxin family,Chordata,no
Q9YGC4,Snake three-finger toxin family,Chordata,yes
P86422,Snake three-finger toxin family,Chordata,no
P86097,Snake three-finger toxin family,Chordata,no
P01420,Snake three-finger toxin family,Chordata,no
P01432,Snake three-finger toxin family,Chordata,no
Q9PSN6,Snake three-finger toxin family,Chordata,no
A7X4R5,Snake three-finger toxin family,Chordata,yes
C1IC47,Snake three-finger toxin family,Chordata,yes
P19960,Snake three-finger toxin family,Chordata,yes
Q9YGX0,Snake three-finger toxin family,Chordata,yes
Q9YGW8,Snake three-finger toxin family,Chordata,yes
P01421,Snake three-finger toxin family,Chordata,no
A7X4S0,Snake three-finger toxin family,Chordata,yes
C1IC48,Snake three-finger toxin family,Chordata,yes
F5CPD5,Snake three-finger toxin family,Chordata,yes
F5CPD6,Snake three-finger toxin family,Chordata,yes
F5CPD7,Snake three-finger toxin family,Chordata,yes
F5CPD8,Snake three-finger toxin family,Chordata,yes
F5CPD9,Snake three-finger toxin family,Chordata,yes
P62389,Snake three-finger toxin family,Chordata,no
Q9YGC7,Snake three-finger toxin family,Chordata,yes
P60772,Snake three-finger toxin family,Chordata,no
F5CPE4,Snake three-finger toxin family,Chordata,yes
Q9YGJ6,Snake three-finger toxin family,Chordata,yes
Q9YGJ5,Snake three-finger toxin family,Chordata,yes
O57326,Snake three-finger toxin family,Chordata,yes
O57327,Snake three-finger toxin family,Chordata,yes
P62388,Snake three-finger toxin family,Chordata,no
P0CG02,Snake three-finger toxin family,Chordata,no
P25495,Snake three-finger toxin family,Chordata,no
P14613,Snake three-finger toxin family,Chordata,no
P82849,Snake three-finger toxin family,Chordata,no
P25496,Snake three-finger toxin family,Chordata,no
P10459,Snake three-finger toxin family,Chordata,yes
P59275,Snake three-finger toxin family,Chordata,no
P60770,Snake three-finger toxin family,Chordata,yes
P60771,Snake three-finger toxin family,Chordata,yes
Q9PTT0,Snake three-finger toxin family,Chordata,yes
P80958,Snake three-finger toxin family,Chordata,yes
P10455,Snake three-finger toxin family,Chordata,yes
P10458,Snake three-finger toxin family,Chordata,no
P10460,Snake three-finger toxin family,Chordata,no
P59276,Snake three-finger toxin family,Chordata,no
P0CAR1,Snake three-finger toxin family,Chordata,no
P10456,Snake three-finger toxin family,Chordata,yes
P60775,Snake three-finger toxin family,Chordata,yes
Q90VW1,Snake three-finger toxin family,Chordata,yes
Q7T2I5,Snake three-finger toxin family,Chordata,yes
Q9YGX1,Snake three-finger toxin family,Chordata,yes
P0C555,Snake three-finger toxin family,Chordata,yes
Q9W7K2,Snake three-finger toxin family,Chordata,yes
Q9W7K1,Snake three-finger toxin family,Chordata,yes
Q9W7K0,Snake three-finger toxin family,Chordata,yes
Q9W7J9,Snake three-finger toxin family,Chordata,yes
Q9W7J7,Snake three-finger toxin family,Chordata,yes
Q9W7J6,Snake three-finger toxin family,Chordata,yes
A8HDK1,Snake three-finger toxin family,Chordata,yes
Q02454,Snake three-finger toxin family,Chordata,yes
Q98957,Snake three-finger toxin family,Chordata,yes
Q98956,Snake three-finger toxin family,Chordata,yes
P79810,Snake three-finger toxin family,Chordata,yes
Q98958,Snake three-finger toxin family,Chordata,yes
P60304,Snake three-finger toxin family,Chordata,yes
P01455,Snake three-finger toxin family,Chordata,no
P0CH80,Snake three-finger toxin family,Chordata,no
P01448,Snake three-finger toxin family,Chordata,no
P01467,Snake three-finger toxin family,Chordata,no
P01447,Snake three-finger toxin family,Chordata,no
P01456,Snake three-finger toxin family,Chordata,no
P01451,Snake three-finger toxin family,Chordata,no
P01468,Snake three-finger toxin family,Chordata,no
O93471,Snake three-finger toxin family,Chordata,yes
A0A7T7DMY7,Snake three-finger toxin family,Chordata,yes
P86538,Snake three-finger toxin family,Chordata,no
Q9PST4,Snake three-finger toxin family,Chordata,yes
Q9PST3,Snake three-finger toxin family,Chordata,yes
O93472,Snake three-finger toxin family,Chordata,yes
P01442,Snake three-finger toxin family,Chordata,yes
P01462,Snake three-finger toxin family,Chordata,no
Q9DGH9,Snake three-finger toxin family,Chordata,yes
P01469,Snake three-finger toxin family,Chordata,no
P01440,Snake three-finger toxin family,Chordata,no
P01463,Snake three-finger toxin family,Chordata,no
P01441,Snake three-finger toxin family,Chordata,no
Q98959,Snake three-finger toxin family,Chordata,yes
Q98960,Snake three-finger toxin family,Chordata,yes
Q98962,Snake three-finger toxin family,Chordata,yes
P60301,Snake three-finger toxin family,Chordata,yes
P01459,Snake three-finger toxin family,Chordata,no
P01446,Snake three-finger toxin family,Chordata,no
P01470,Snake three-finger toxin family,Chordata,no
P24780,Snake three-finger toxin family,Chordata,no
P01458,Snake three-finger toxin family,Chordata,no
P60302,Snake three-finger toxin family,Chordata,yes
O93473,Snake three-finger toxin family,Chordata,yes
O73856,Snake three-finger toxin family,Chordata,yes
Q9W6W9,Snake three-finger toxin family,Chordata,yes
P01443,Snake three-finger toxin family,Chordata,yes
P01461,Snake three-finger toxin family,Chordata,no
P60303,Snake three-finger toxin family,Chordata,yes
P01452,Snake three-finger toxin family,Chordata,no
O73857,Snake three-finger toxin family,Chordata,yes
P60310,Snake three-finger toxin family,Chordata,yes
Q98961,Snake three-finger toxin family,Chordata,yes
P01464,Snake three-finger toxin family,Chordata,no
P01457,Snake three-finger toxin family,Chordata,no
P24779,Snake three-finger toxin family,Chordata,no
P25517,Snake three-finger toxin family,Chordata,no
Q9PS34,Snake three-finger toxin family,Chordata,no
Q98965,Snake three-finger toxin family,Chordata,yes
P01465,Snake three-finger toxin family,Chordata,no
P01445,Snake three-finger toxin family,Chordata,no
P01466,Snake three-finger toxin family,Chordata,no
P86382,Snake three-finger toxin family,Chordata,no
P49123,Snake three-finger toxin family,Chordata,yes
Q91124,Snake three-finger toxin family,Chordata,yes
P01460,Snake three-finger toxin family,Chordata,no
P60305,Snake three-finger toxin family,Chordata,no
P86540,Snake three-finger toxin family,Chordata,no
P01454,Snake three-finger toxin family,Chordata,no
Q9W6W6,Snake three-finger toxin family,Chordata,yes
P01453,Snake three-finger toxin family,Chordata,no
P86541,Snake three-finger toxin family,Chordata,no
P60311,Snake three-finger toxin family,Chordata,no
P60306,Snake three-finger toxin family,Chordata,no
P60307,Snake three-finger toxin family,Chordata,no
P60308,Snake three-finger toxin family,Chordata,no
P60309,Snake three-finger toxin family,Chordata,no
P80245,Snake three-finger toxin family,Chordata,yes
P0DSN1,Snake three-finger toxin family,Chordata,no
Q91135,Snake three-finger toxin family,Chordata,yes
P83345,Snake three-finger toxin family,Chordata,no
Q91136,Snake three-finger toxin family,Chordata,yes
P07525,Snake three-finger toxin family,Chordata,no
P01471,Snake three-finger toxin family,Chordata,no
P24776,Snake three-finger toxin family,Chordata,no
P24777,Snake three-finger toxin family,Chordata,no
B3EWH9,Snake three-finger toxin family,Chordata,no
Q2VBN5,Snake three-finger toxin family,Chordata,yes
Q2VBN4,Snake three-finger toxin family,Chordata,yes
Q2VBN7,Snake three-finger toxin family,Chordata,yes
Q53B46,Snake three-finger toxin family,Chordata,yes
Q69CK0,Snake three-finger toxin family,Chordata,yes
Q2VBN8,Snake three-finger toxin family,Chordata,yes
P0C1Y9,Snake three-finger toxin family,Chordata,no
P0C1Z0,Snake three-finger toxin family,Chordata,no
P25681,Snake three-finger toxin family,Chordata,no
P60234,Snake three-finger toxin family,Chordata,no
P85092,Snake three-finger toxin family,Chordata,no
P86419,Snake three-finger toxin family,Chordata,no
Q53B49,Snake three-finger toxin family,Chordata,yes
P25518,Snake three-finger toxin family,Chordata,no
P81030,Snake three-finger toxin family,Chordata,no
P18328,Snake three-finger toxin family,Chordata,yes
P81031,Snake three-finger toxin family,Chordata,no
Q9PSN1,Snake three-finger toxin family,Chordata,no
Q2VBN1,Snake three-finger toxin family,Chordata,yes
Q8QGR0,Snake three-finger toxin family,Chordata,yes
Q2VBN0,Snake three-finger toxin family,Chordata,yes
P80494,Snake three-finger toxin family,Chordata,no
P80495,Snake three-finger toxin family,Chordata,no
P01410,Snake three-finger toxin family,Chordata,no
P01411,Snake three-finger toxin family,Chordata,no
P01408,Snake three-finger toxin family,Chordata,no
P01409,Snake three-finger toxin family,Chordata,no
P17696,Snake three-finger toxin family,Chordata,yes
P01407,Snake three-finger toxin family,Chordata,no
P25684,Snake three-finger toxin family,Chordata,no
P01414,Snake three-finger toxin family,Chordata,no
P25683,Snake three-finger toxin family,Chordata,no
P22947,Snake three-finger toxin family,Chordata,no
C0HJT5,Snake three-finger toxin family,Chordata,no
Q9W717,Snake three-finger toxin family,Chordata,yes
P83346,Snake three-finger toxin family,Chordata,no
P0C554,Snake three-finger toxin family,Chordata,yes
Q9YGI8,Snake three-finger toxin family,Chordata,yes
P84716,Snake three-finger toxin family,Chordata,no
P25676,Snake three-finger toxin family,Chordata,no
P01415,Snake three-finger toxin family,Chordata,no
P43445,Snake three-finger toxin family,Chordata,yes
Q9W727,Snake three-finger toxin family,Chordata,yes
Q9DEQ3,Snake three-finger toxin family,Chordata,yes
P82464,Snake three-finger toxin family,Chordata,no
A8N286,Snake three-finger toxin family,Chordata,yes
Q8AY53,Snake three-finger toxin family,Chordata,yes
Q9YGI0,Snake three-finger toxin family,Chordata,yes
Q8AY52,Snake three-finger toxin family,Chordata,yes
Q800Y3,Snake three-finger toxin family,Chordata,yes
Q7ZT13,Snake three-finger toxin family,Chordata,yes
P79688,Snake three-finger toxin family,Chordata,yes
P18329,Snake three-finger toxin family,Chordata,yes
P01406,Snake three-finger toxin family,Chordata,no
P01405,Snake three-finger toxin family,Chordata,no
P01404,Snake three-finger toxin family,Chordata,yes
Q9PUB7,Snake three-finger toxin family,Chordata,yes
Q9PRI1,Snake three-finger toxin family,Chordata,yes
P19004,Snake three-finger toxin family,Chordata,no
P24778,Snake three-finger toxin family,Chordata,no
P0DUK7,Snake three-finger toxin family,Chordata,no
P01474,Snake three-finger toxin family,Chordata,no
Q8UUK0,Snake three-finger toxin family,Chordata,yes
P01473,Snake three-finger toxin family,Chordata,no
P62375,Snake three-finger toxin family,Chordata,yes
P49122,Snake three-finger toxin family,Chordata,yes
Q91126,Snake three-finger toxin family,Chordata,yes
P62390,Snake three-finger toxin family,Chordata,no
P62394,Snake three-finger toxin family,Chordata,no
P14541,Snake three-finger toxin family,Chordata,no
Q91137,Snake three-finger toxin family,Chordata,yes
P62377,Snake three-finger toxin family,Chordata,no
Q91996,Snake three-finger toxin family,Chordata,yes
Q9W716,Snake three-finger toxin family,Chordata,yes
P19003,Snake three-finger toxin family,Chordata,no
P14534,Snake three-finger toxin family,Chordata,no
P0C553,Snake three-finger toxin family,Chordata,yes
P0C552,Snake three-finger toxin family,Chordata,yes
P01402,Snake three-finger toxin family,Chordata,no
P25678,Snake three-finger toxin family,Chordata,no
P25677,Snake three-finger toxin family,Chordata,no
P0DQH2,Snake three-finger toxin family,Chordata,no
P01413,Snake three-finger toxin family,Chordata,no
P28375,Snake three-finger toxin family,Chordata,no
P81946,Snake three-finger toxin family,Chordata,no
P60237,Snake three-finger toxin family,Chordata,no
P82462,Snake three-finger toxin family,Chordata,no
P0DQQ3,Snake three-finger toxin family,Chordata,no
P82463,Snake three-finger toxin family,Chordata,no
F5CPE6,Snake three-finger toxin family,Chordata,yes
A0A2P1BST7,Snake three-finger toxin family,Chordata,yes
P0DKR6,Snake three-finger toxin family,Chordata,yes
C0HK04,Snake three-finger toxin family,Chordata,no
C6JUP1,Snake three-finger toxin family,Chordata,yes
C0HLK5,Snake three-finger toxin family,Chordata,no
B3EWF8,Snake three-finger toxin family,Chordata,yes
P83302,Snake three-finger toxin family,Chordata,no
P0DKS3,Snake three-finger toxin family,Chordata,no
P86421,Snake three-finger toxin family,Chordata,no
K9MCX0,Snake three-finger toxin family,Chordata,yes
A0A2P1BSS9,Snake three-finger toxin family,Chordata,yes
Q53B50,Snake three-finger toxin family,Chordata,yes
C0HJB0,Snake three-finger toxin family,Chordata,no
F5CPE2,Snake three-finger toxin family,Chordata,yes
C6JUP3,Snake three-finger toxin family,Chordata,yes
A0A2P1BSU3,Snake three-finger toxin family,Chordata,yes
Q2VBN3,Snake three-finger toxin family,Chordata,yes
A8HDK2,Snake three-finger toxin family,Chordata,yes
F5CPD3,Snake three-finger toxin family,Chordata,yes
A0A2P1BSS8,Snake three-finger toxin family,Chordata,yes
F5CPE3,Snake three-finger toxin family,Chordata,yes
Q53B47,Snake three-finger toxin family,Chordata,yes
A7X4S7,Snake three-finger toxin family,Chordata,yes
Q2VBP2,Snake three-finger toxin family,Chordata,yes
A7X4T2,Snake three-finger toxin family,Chordata,yes
Q53B48,Snake three-finger toxin family,Chordata,yes
A0A4P1LYC9,Snake three-finger toxin family,Chordata,no
F5CPE0,Snake three-finger toxin family,Chordata,yes
U3FAE1,Snake three-finger toxin family,Chordata,yes
U3EPL2,Snake three-finger toxin family,Chordata,yes
Q2VBP1,Snake three-finger toxin family,Chordata,yes
Q2VBP0,Snake three-finger toxin family,Chordata,yes
P0DL82,Snake three-finger toxin family,Chordata,no
Q2VBN9,Snake three-finger toxin family,Chordata,yes
Q4VRI0,Snake three-finger toxin family,Chordata,yes
Q53B52,Snake three-finger toxin family,Chordata,yes
P86094,Snake three-finger toxin family,Chordata,no
P0DSN0,Snake three-finger toxin family,Chordata,no
P0CE78,Arthropod phospholipase D family,Arthropoda,no
P0CE79,Arthropod phospholipase D family,Arthropoda,yes
P0CE80,Arthropod phospholipase D family,Arthropoda,yes
P0CE81,Arthropod phospholipase D family,Arthropoda,yes
Q4VDB5,Arthropod phospholipase D family,Arthropoda,no
Q56JA9,Arthropod phospholipase D family,Arthropoda,no
P0CE83,Arthropod phospholipase D family,Arthropoda,yes
B2KKV6,Arthropod phospholipase D family,Arthropoda,yes
Q5YD77,Arthropod phospholipase D family,Arthropoda,no
Q5YD75,Arthropod phospholipase D family,Arthropoda,no
Q7Z1Y7,Arthropod phospholipase D family,Arthropoda,yes
K9USW8,Arthropod phospholipase D family,Arthropoda,no
Q1W695,Arthropod phospholipase D family,Arthropoda,yes
B2KKW0,Arthropod phospholipase D family,Arthropoda,yes
Q8I914,Arthropod phospholipase D family,Arthropoda,yes
Q1KY80,Arthropod phospholipase D family,Arthropoda,no
E5D3Z8,Arthropod phospholipase D family,Arthropoda,yes
Q1KY79,Arthropod phospholipase D family,Arthropoda,no
Q8I913,Arthropod phospholipase D family,Arthropoda,yes
P0DM60,Arthropod phospholipase D family,Arthropoda,yes
A4USB4,Arthropod phospholipase D family,Arthropoda,yes
P23604,Peptidase S1 family,Arthropoda,no
P23605,Peptidase S1 family,Arthropoda,no
P15228,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q86M31,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0CF39,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0CF37,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
A0A6P8HC43,Venom Kunitz-type family,Cnidaria,yes
Q2XQ09,Arthropod phospholipase D family,Arthropoda,yes
Q27Q54,Arthropod phospholipase D family,Arthropoda,yes
Q5YD76,Arthropod phospholipase D family,Arthropoda,no
Q8I912,Arthropod phospholipase D family,Arthropoda,yes
Q1W694,Arthropod phospholipase D family,Arthropoda,yes
P15221,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
A0A0D4WV12,Arthropod phospholipase D family,Arthropoda,no
Q76B45,Peptidase S1 family,Chordata,yes
Q8I6R2,Conotoxin M superfamily,Mollusca,yes
P0CY87,Conotoxin A superfamily,Mollusca,yes
P0CY75,Conotoxin A superfamily,Mollusca,yes
P0CAQ4,Conotoxin A superfamily,Mollusca,yes
Q6PTD7,Conotoxin A superfamily,Mollusca,yes
P0CAQ5,Conotoxin A superfamily,Mollusca,yes
Q6PPB3,Conotoxin A superfamily,Mollusca,yes
P0CB07,Conotoxin A superfamily,Mollusca,yes
P0CE73,Conotoxin A superfamily,Mollusca,yes
P0CY86,Conotoxin A superfamily,Mollusca,yes
P0C1V9,Conotoxin A superfamily,Mollusca,yes
Q6PTD5,Conotoxin A superfamily,Mollusca,yes
Q2I2R8,Conotoxin A superfamily,Mollusca,yes
Q6PTD1,Conotoxin A superfamily,Mollusca,yes
A0SE60,Conotoxin A superfamily,Mollusca,yes
P0C8V1,Conotoxin A superfamily,Mollusca,yes
P0C1W4,Conotoxin A superfamily,Mollusca,yes
Q9XZK6,Conotoxin A superfamily,Mollusca,yes
P0CY88,Conotoxin A superfamily,Mollusca,yes
D9IWN6,Conotoxin A superfamily,Mollusca,yes
D4HRK4,Conotoxin A superfamily,Mollusca,yes
