identifier,Protein families,Phylum,has_fragment
Q69CK0,Snake three-finger toxin family,Chordata,no
Q2VBN8,Snake three-finger toxin family,Chordata,no
P0C1Y9,Snake three-finger toxin family,Chordata,no
P0C1Z0,Snake three-finger toxin family,Chordata,no
P25681,Snake three-finger toxin family,Chordata,no
Q9PS08,Snake three-finger toxin family,Chordata,yes
P60234,Snake three-finger toxin family,Chordata,no
P60235,Snake three-finger toxin family,Chordata,yes
P60236,Snake three-finger toxin family,Chordata,yes
P85092,Snake three-finger toxin family,Chordata,no
P86419,Snake three-finger toxin family,Chordata,no
Q53B49,Snake three-finger toxin family,Chordata,no
P25518,Snake three-finger toxin family,Chordata,no
P0DQP2,Snake three-finger toxin family,Chordata,yes
P81030,Snake three-finger toxin family,Chordata,no
P18328,Snake three-finger toxin family,Chordata,no
C0JAW5,Arthropod phospholipase D family,Arthropoda,yes
C0JAY3,Arthropod phospholipase D family,Arthropoda,yes
C0JAW2,Arthropod phospholipase D family,Arthropoda,yes
C0JAW0,Arthropod phospholipase D family,Arthropoda,yes
P0C2K0,Arthropod phospholipase D family,Arthropoda,yes
C0JAV7,Arthropod phospholipase D family,Arthropoda,yes
C0JAW3,Arthropod phospholipase D family,Arthropoda,yes
Q5YD75,Arthropod phospholipase D family,Arthropoda,no
C0JAU7,Arthropod phospholipase D family,Arthropoda,yes
C0JAU8,Arthropod phospholipase D family,Arthropoda,yes
C0JAU9,Arthropod phospholipase D family,Arthropoda,yes
Q7Z1Y7,Arthropod phospholipase D family,Arthropoda,no
Q4ZFU2,Arthropod phospholipase D family,Arthropoda,yes
C0JAU4,Arthropod phospholipase D family,Arthropoda,yes
C0JAU6,Arthropod phospholipase D family,Arthropoda,yes
C0JAU3,Arthropod phospholipase D family,Arthropoda,yes
C0JAU5,Arthropod phospholipase D family,Arthropoda,yes
C0JAX3,Arthropod phospholipase D family,Arthropoda,yes
C0JAX4,Arthropod phospholipase D family,Arthropoda,yes
C0JAX5,Arthropod phospholipase D family,Arthropoda,yes
A4USB4,Arthropod phospholipase D family,Arthropoda,no
P0DN66,Other,Mollusca,yes
P0DN67,Other,Mollusca,yes
B3EWH2,,Chordata,no
C0JB80,Arthropod phospholipase D family,Arthropoda,yes
C0JB81,Arthropod phospholipase D family,Arthropoda,yes
C0JB82,Arthropod phospholipase D family,Arthropoda,yes
C0JB83,Arthropod phospholipase D family,Arthropoda,yes
C0JB84,Arthropod phospholipase D family,Arthropoda,yes
C0JB85,Arthropod phospholipase D family,Arthropoda,yes
C0JB86,Arthropod phospholipase D family,Arthropoda,yes
C0JB87,Arthropod phospholipase D family,Arthropoda,yes
C0JB88,Arthropod phospholipase D family,Arthropoda,yes
C0JB91,Arthropod phospholipase D family,Arthropoda,yes
P0DUV0,,Arthropoda,no
P85160,Other,Chordata,no
P0DKZ3,Other,Chordata,no
P0DKZ8,Other,Chordata,no
P0DKZ4,Other,Chordata,no
P30426,Other,Chordata,no
P0C7S4,Other,Chordata,no
P01022,Other,Chordata,no
P0DJK2,Other,Chordata,no
P0DJK5,Other,Chordata,no
P0DJK3,Other,Chordata,no
P0DJK7,Other,Chordata,no
P0DKZ9,Other,Chordata,no
P85161,Other,Chordata,no
P0DJK4,Other,Chordata,no
P0DL00,Other,Chordata,no
P0DL01,Other,Chordata,no
P0DJK6,Other,Chordata,no
P0DL04,Other,Chordata,no
P0DL05,Other,Chordata,no
P83659,Other,Arthropoda,no
P0DL32,Other,Arthropoda,no
Q8I6R2,Other,Mollusca,no
P0C847,Other,Mollusca,no
P0C848,Other,Mollusca,no
P0C846,Other,Mollusca,no
P0C845,Other,Mollusca,no
P0C850,Other,Mollusca,no
P0C8R2,Other,Mollusca,yes
P56639,Other,Mollusca,no
P0DL39,Other,Mollusca,no
P69657,Other,Mollusca,no
P56973,Other,Mollusca,no
D4HPD6,Other,Mollusca,no
P56638,Other,Mollusca,no
P50982,Other,Mollusca,no
A6M938,Other,Mollusca,yes
X1WB75,Other,Mollusca,no
L8BU87,Other,Mollusca,yes
P0DL68,Other,Mollusca,no
P0C1W1,Other,Mollusca,no
P0DQQ6,Other,Mollusca,no
P0DQY0,Other,Mollusca,no
P0C1R7,Other,Mollusca,no
P50984,Other,Mollusca,no
Q1L777,Other,Mollusca,yes
P69658,Other,Mollusca,yes
P0DQX0,Other,Mollusca,no
P0DQX1,Other,Mollusca,no
A0A125S9D8,Other,Mollusca,no
F6JWU7,Other,Mollusca,no
P58928,,Mollusca,no
P86399,Other,Arthropoda,no
A0A125S9F0,Other,Mollusca,no
P0DM15,,Mollusca,no
A6YR20,Conotoxin O1 superfamily,Mollusca,no
A6YR21,Conotoxin O1 superfamily,Mollusca,no
A6YR23,,Mollusca,no
A6YR24,,Mollusca,no
A6YR26,,Mollusca,no
A6YR28,,Mollusca,no
A6YR29,,Mollusca,no
A6YR30,,Mollusca,no
A6YR31,,Mollusca,no
A6YR33,,Mollusca,no
A6YR34,,Mollusca,no
A6YR36,,Mollusca,no
A6YR37,,Mollusca,no
A6YR40,Conotoxin O1 superfamily,Mollusca,no
A6YR41,,Mollusca,no
A0A1P8NVR5,Other,Mollusca,no
Q9GU57,Other,Mollusca,no
Q8I6V7,Other,Mollusca,no
P81727,Other,Mollusca,no
P84707,Other,Mollusca,no
P0DL14,Other,Chordata,yes
P84807,Other,Chordata,yes
P0DL19,Other,Chordata,yes
P0DL21,Other,Chordata,yes
P0DL20,Other,Chordata,yes
Q2XXP2,Other,Chordata,yes
P0DL15,Other,Chordata,yes
Q2XXP1,Other,Chordata,no
P84804,Other,Chordata,yes
P84803,Other,Chordata,yes
P84806,Other,Chordata,yes
Q7ZTA0,Other,Chordata,no
P81990,Other,Chordata,yes
A8S6B6,Other,Chordata,no
P0DMG5,Other,Chordata,yes
P0DMG6,Other,Chordata,yes
P81993,Other,Chordata,yes
A7X4T8,Other,Chordata,yes
D8VNS1,Other,Chordata,no
F8S0Y4,Other,Chordata,no
B2CI28,Other,Mollusca,yes
B2CI27,Other,Mollusca,yes
B1PZN6,Other,Mollusca,no
P0CI23,Other,Mollusca,no
P58808,Other,Mollusca,no
P58810,Other,Mollusca,no
Q9BPE9,Other,Mollusca,no
P0CI22,Other,Mollusca,no
P58807,Other,Mollusca,no
A0A6B9KZ30,Other,Arthropoda,no
Q45KX2,Other,Arthropoda,no
F5CEP0,,Mollusca,yes
G1C1T0,,Mollusca,yes
G1C1T1,,Mollusca,yes
G1C1T2,,Mollusca,yes
G1C1T3,,Mollusca,yes
Q9BP49,,Mollusca,yes
Q9BPB3,,Mollusca,yes
P0DJB3,,Mollusca,no
P0DJB4,,Mollusca,no
P0DJB5,,Mollusca,no
B0L0Y6,,Mollusca,no
G8FZS4,,Mollusca,yes
P0DQU1,Other,Arthropoda,no
D1MEI6,Other,Arthropoda,no
P0CJ37,Other,Arthropoda,no
P0CJ36,Other,Arthropoda,no
P0C931,Other,Arthropoda,no
P85032,Other,Arthropoda,no
P81428,Peptidase S1 family,Chordata,no
D8VNT0,Other,Chordata,no
P0DUV2,Other,Arthropoda,no
D2Y2H7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2H8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2A0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2A1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2A2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2B2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2B3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2B4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2B5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2H5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2A3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2C9,Other,Arthropoda,no
D2Y2H0,Other,Arthropoda,no
D2Y2D0,Other,Arthropoda,no
D2Y204,Other,Arthropoda,no
A3QVN9,Other,Chordata,no
A3QVN3,Other,Chordata,no
P86100,Other,Arthropoda,no
P85841,Other,Arthropoda,yes
A3QVP0,Other,Chordata,no
W0HFN9,Other,Arthropoda,no
A3QVN4,Other,Chordata,no
P0C251,Other,Mollusca,no
D6C4H9,Other,Mollusca,no
P0C253,Other,Mollusca,no
P0C256,Other,Mollusca,yes
P0C257,Other,Mollusca,yes
Q7Z0A6,Other,Mollusca,no
P0DW72,Other,Mollusca,no
D6C4I0,Other,Mollusca,no
P0C613,Other,Mollusca,no
Q7Z099,Other,Mollusca,yes
P0C259,Other,Mollusca,yes
Q7Z090,Other,Mollusca,no
S4UKA9,Other,Mollusca,no
A0A0B5ADT3,Other,Mollusca,no
A0A0B5A7N5,Other,Mollusca,no
A0A0B5A8P8,Other,Mollusca,no
A0A3S9V8K6,Other,Mollusca,no
A0A3S9V8L9,Other,Mollusca,no
A0A0B5A8P4,Other,Mollusca,no
A0A0B5AC86,Other,Mollusca,no
A0A0B5ABD5,Other,Mollusca,no
B3EWQ0,Other,Arthropoda,no
P0C247,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0CI84,Short scorpion toxin superfamily,Arthropoda,no
A0A059UEE4,Short scorpion toxin superfamily,Arthropoda,no
R4GUQ3,Short scorpion toxin superfamily,Arthropoda,no
D9U2A6,Short scorpion toxin superfamily,Arthropoda,no
R4GUQ1,Short scorpion toxin superfamily,Arthropoda,no
P0CI86,Short scorpion toxin superfamily,Arthropoda,no
P0DL33,Short scorpion toxin superfamily,Arthropoda,no
P0DL34,Short scorpion toxin superfamily,Arthropoda,no
P0DL35,Short scorpion toxin superfamily,Arthropoda,no
P0DL62,Short scorpion toxin superfamily,Arthropoda,no
C0HM22,Short scorpion toxin superfamily,Arthropoda,yes
Q9NII7,Short scorpion toxin superfamily,Arthropoda,no
P55896,Short scorpion toxin superfamily,Arthropoda,no
P59886,Short scorpion toxin superfamily,Arthropoda,no
P59290,Short scorpion toxin superfamily,Arthropoda,no
P0C908,Short scorpion toxin superfamily,Arthropoda,no
P0C909,Short scorpion toxin superfamily,Arthropoda,no
P0C8R1,Short scorpion toxin superfamily,Arthropoda,no
P86396,Short scorpion toxin superfamily,Arthropoda,no
B3EWY0,Short scorpion toxin superfamily,Arthropoda,yes
K7XFK5,Short scorpion toxin superfamily,Arthropoda,no
P0DL44,Short scorpion toxin superfamily,Arthropoda,no
C0HJQ4,Short scorpion toxin superfamily,Arthropoda,no
C0HJQ6,Short scorpion toxin superfamily,Arthropoda,no
P0DUK8,Short scorpion toxin superfamily,Arthropoda,no
P46114,Short scorpion toxin superfamily,Arthropoda,no
P56219,Short scorpion toxin superfamily,Arthropoda,no
P59925,Short scorpion toxin superfamily,Arthropoda,no
P60210,Short scorpion toxin superfamily,Arthropoda,no
Q5G8B6,Short scorpion toxin superfamily,Arthropoda,no
P0CB56,Short scorpion toxin superfamily,Arthropoda,no
Q86QT3,Other,Arthropoda,no
Q86QV6,Other,Arthropoda,no
Q86QV3,Other,Arthropoda,no
Q86QU6,Other,Arthropoda,no
C0HK42,Other,Arthropoda,no
C0HK43,Other,Arthropoda,no
C0HK44,Other,Arthropoda,no
B3EWF2,Other,Arthropoda,no
B3EWF3,Other,Arthropoda,no
C0HK45,Other,Arthropoda,no
B3EWF4,Other,Arthropoda,no
P0DV16,Other,Arthropoda,no
P82421,Other,Arthropoda,no
P0DSJ3,Other,Arthropoda,no
C0HK46,Other,Arthropoda,no
B3EWF5,Other,Arthropoda,no
P82422,Other,Arthropoda,no
C0HK47,Other,Arthropoda,no
B3EWF6,Other,Arthropoda,no
P0C8X2,Other,Arthropoda,yes
P0DPK8,Other,Mollusca,no
P0DPK9,Other,Mollusca,no
P0DPL0,Other,Mollusca,no
P0C1N2,Other,Mollusca,no
P0C1N3,Other,Mollusca,no
P0CH22,Other,Mollusca,yes
Q2I2Q1,Other,Mollusca,no
P0DX34,Other,Arthropoda,no
P0DQZ6,Other,Arthropoda,no
P0DQZ7,Other,Arthropoda,no
P0DQZ8,Other,Arthropoda,no
P0DQZ9,Other,Arthropoda,no
P0DX46,Other,Arthropoda,no
D1MEI7,Other,Arthropoda,no
P0C1M6,Other,Arthropoda,no
P0DRA5,Other,Arthropoda,no
P0C1M4,Other,Arthropoda,no
D1MEI8,Other,Arthropoda,no
P0C1M7,Other,Arthropoda,no
P0DRA6,Other,Arthropoda,no
P0C1M5,Other,Arthropoda,no
A0SPI0,Other,Arthropoda,yes
P0C5G7,Other,Arthropoda,no
P0CJ39,Other,Arthropoda,no
P59853,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HJV7,Other,Arthropoda,no
P60273,Other,Arthropoda,no
Q7YT39,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DQU4,Other,Arthropoda,no
P86990,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0DX65,,Arthropoda,no
P0DTX7,Conotoxin O1 superfamily,Mollusca,no
Q9TVR4,Conotoxin O1 superfamily,Mollusca,yes
C7T1P1,Conotoxin O1 superfamily,Mollusca,yes
Q9UA93,Conotoxin O1 superfamily,Mollusca,yes
C7T188,Conotoxin O1 superfamily,Mollusca,yes
Q9U655,Conotoxin O1 superfamily,Mollusca,no
P18512,Conotoxin O1 superfamily,Mollusca,no
Q9UA71,Conotoxin O1 superfamily,Mollusca,yes
C7T187,Conotoxin O1 superfamily,Mollusca,yes
Q9U659,Conotoxin O1 superfamily,Mollusca,no
Q9U654,Conotoxin O1 superfamily,Mollusca,no
Q3YED8,Conotoxin O1 superfamily,Mollusca,no
Q5K0D3,Conotoxin O1 superfamily,Mollusca,no
Q9UA86,Conotoxin O1 superfamily,Mollusca,yes
C7T186,Conotoxin O1 superfamily,Mollusca,yes
Q9U645,Conotoxin O1 superfamily,Mollusca,no
Q9UA72,Conotoxin O1 superfamily,Mollusca,yes
C7T184,Conotoxin O1 superfamily,Mollusca,yes
Q9U648,Conotoxin O1 superfamily,Mollusca,no
Q9TVQ6,Conotoxin O1 superfamily,Mollusca,yes
Q9XZK9,Conotoxin O1 superfamily,Mollusca,no
Q6TGQ9,Other,Chordata,yes
P86535,Other,Chordata,yes
P0DV78,Other,Chordata,yes
F8S0Z5,Other,Chordata,no
P0DI90,Other,Chordata,yes
P0DI85,Other,Chordata,yes
X2JCV5,Other,Chordata,no
P0DQH9,Other,Chordata,yes
P0CC16,Other,Chordata,yes
Q6T627,Other,Chordata,yes
P0DI86,Other,Chordata,yes
P0CC17,Other,Chordata,no
P0DMG8,Other,Chordata,yes
P0DMG9,Other,Chordata,yes
P0DI87,Other,Chordata,yes
P0DI88,Other,Chordata,yes
P0DI89,Other,Chordata,yes
P0CJ40,Other,Chordata,yes
P0C8W9,,Arthropoda,yes
Q06478,Other,Arthropoda,yes
Q6Q252,Other,Arthropoda,no
P0DMB4,Other,Arthropoda,no
P0DMB6,Other,Arthropoda,yes
P0DMB7,Other,Arthropoda,yes
P0DMB8,Other,Arthropoda,yes
P53357,Other,Arthropoda,no
Q6Q251,Other,Arthropoda,yes
P0DMB5,Other,Arthropoda,no
Q6Q250,Other,Arthropoda,yes
Q6Q249,Other,Arthropoda,yes
P00598,Phospholipase A2 family,Chordata,no
P00596,Phospholipase A2 family,Chordata,no
P00602,Phospholipase A2 family,Chordata,no
P80966,Phospholipase A2 family,Chordata,no
P00625,Phospholipase A2 family,Chordata,no
P06859,Phospholipase A2 family,Chordata,no
Q91506,Phospholipase A2 family,Chordata,no
Q9W7J4,Phospholipase A2 family,Chordata,no
Q45Z30,Phospholipase A2 family,Chordata,no
Q910A1,Phospholipase A2 family,Chordata,no
F8QN52,Phospholipase A2 family,Chordata,no
C1IC46,Phospholipase A2 family,Chordata,yes
P07037,Phospholipase A2 family,Chordata,no
P00621,Phospholipase A2 family,Chordata,no
P86389,Phospholipase A2 family,Chordata,no
P0DUN4,Phospholipase A2 family,Chordata,yes
P84397,Phospholipase A2 family,Chordata,yes
Q7T2Q4,Phospholipase A2 family,Chordata,no
P0CAS0,Phospholipase A2 family,Chordata,no
P81478,Phospholipase A2 family,Chordata,no
C0HM79,Phospholipase A2 family,Chordata,yes
P0DQP9,Phospholipase A2 family,Chordata,yes
P86803,Phospholipase A2 family,Chordata,no
P0C8M1,Phospholipase A2 family,Chordata,no
P0DM51,Phospholipase A2 family,Chordata,yes
Q8AY48,Phospholipase A2 family,Chordata,yes
Q8QFW4,Phospholipase A2 family,Chordata,no
Q90WA7,Phospholipase A2 family,Chordata,no
Q7T1R0,Phospholipase A2 family,Chordata,no
P00617,Phospholipase A2 family,Chordata,no
P0DJM9,Phospholipase A2 family,Chordata,yes
P0DJN1,Phospholipase A2 family,Chordata,yes
P62023,Phospholipase A2 family,Chordata,no
P0DJN0,Phospholipase A2 family,Chordata,yes
A8CG89,Phospholipase A2 family,Chordata,no
A8CG82,Phospholipase A2 family,Chordata,no
P00595,Phospholipase A2 family,Chordata,no
P0C942,Phospholipase A2 family,Chordata,no
Q8UUI0,Phospholipase A2 family,Chordata,no
C0HKB9,Phospholipase A2 family,Chordata,no
Q10755,Phospholipase A2 family,Chordata,no
P31854,Phospholipase A2 family,Chordata,no
P31859,Phospholipase A2 family,Chordata,yes
F8QN54,Phospholipase A2 family,Chordata,no
P0DKT7,Phospholipase A2 family,Chordata,yes
P20260,Phospholipase A2 family,Chordata,yes
P0CAT0,Phospholipase A2 family,Chordata,yes
P0CAT1,Phospholipase A2 family,Chordata,yes
Q7M3V4,,Arthropoda,no
Q7M3V3,,Arthropoda,no
P84032,,Arthropoda,no
P0DM12,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DM13,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P84033,Peptidase S1 family,Arthropoda,no
J3S9D9,Other,Chordata,no
P84678,,Arthropoda,yes
P84679,,Arthropoda,yes
P84680,,Arthropoda,yes
P84681,,Arthropoda,yes
P84682,,Arthropoda,yes
P84683,,Arthropoda,yes
P84686,,Arthropoda,yes
P84694,,Arthropoda,yes
Q9GYX2,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q9GUA7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q4TUA4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
H1ZZI8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q2YHM1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
M1JMR8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q7YXD3,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P04098,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0CH40,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PG7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q7Z1K4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q9TWL0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q95WD1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0DL83,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P54135,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
B7SNV8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
E7CLN3,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q1I163,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
H1ZZH7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
H1ZZI9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HLG5,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P04099,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PG6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P23807,Other,Chordata,no
Q6X5S4,Other,Chordata,no
Q8JIV9,Other,Chordata,no
B4XSY4,Other,Chordata,no
P81111,Other,Chordata,no
Q8AYA5,Other,Chordata,no
B4XSZ2,Other,Chordata,no
P84037,Other,Chordata,yes
P0C8J1,Other,Chordata,yes
Q09GK0,Other,Chordata,no
D1MGU1,Other,Chordata,no
Q7LZI6,Other,Chordata,yes
P0DJL1,Other,Chordata,yes
P0DJL3,Other,Chordata,no
P0DMM7,Other,Chordata,yes
Q9DEA2,Other,Chordata,no
Q9DEA1,Other,Chordata,no
W5XDM0,Other,Chordata,no
W5XCJ6,Other,Chordata,no
P86716,Other,Arthropoda,no
P86717,Other,Arthropoda,no
P0DJK0,Other,Chordata,no
P0C8C1,Other,Arthropoda,yes
P0C8C2,Other,Arthropoda,yes
P0C8C3,Other,Arthropoda,yes
P0C8C4,Other,Arthropoda,yes
Q5Y4V8,Other,Arthropoda,no
A0A1D0C027,Other,Arthropoda,no
Q5Y4Y2,Other,Arthropoda,no
Q5Y4Y0,Other,Arthropoda,no
Q5Y4X9,Other,Arthropoda,no
Q5Y4X7,Other,Arthropoda,no
Q5Y4X6,Other,Arthropoda,no
Q5Y4X5,Other,Arthropoda,no
Q5Y4X4,Other,Arthropoda,no
Q5Y4X3,Other,Arthropoda,no
Q5Y4X2,Other,Arthropoda,no
Q5Y4X1,Other,Arthropoda,no
Q5Y4X0,Other,Arthropoda,no
Q5Y4W9,Other,Arthropoda,no
Q5Y4W8,Other,Arthropoda,no
Q5Y4W7,Other,Arthropoda,no
Q5Y4W6,Other,Arthropoda,no
Q5Y4W5,Other,Arthropoda,no
Q5Y4W4,Other,Arthropoda,no
Q5Y4W3,Other,Arthropoda,no
Q5Y4W2,Other,Arthropoda,no
A0A452CSQ9,Other,Arthropoda,no
P0DN63,Other,Mollusca,no
P0DN64,Other,Mollusca,no
S0F1M6,Other,Arthropoda,no
S0F207,Other,Arthropoda,no
S0F209,Other,Arthropoda,no
P0DMD6,Other,Arthropoda,no
P0DPW5,Other,Arthropoda,no
P0DPW4,Other,Arthropoda,no
P0DSJ4,Other,Arthropoda,no
A0A348G6I7,Other,Arthropoda,no
A0A6M3Z554,Other,Arthropoda,yes
P0DPW3,Other,Arthropoda,no
P0C292,Other,Arthropoda,no
B6DCK9,Other,Arthropoda,no
B6DCL0,Other,Arthropoda,no
B6DCL1,Other,Arthropoda,no
B6DCL2,Other,Arthropoda,no
B6DCL3,Other,Arthropoda,no
B6DCL4,Other,Arthropoda,no
B6DCL5,Other,Arthropoda,no
B6DCL6,Other,Arthropoda,no
B6DCL7,Other,Arthropoda,no
B6DCL8,Other,Arthropoda,no
A0A6G9KHD3,,Arthropoda,no
P0DSJ5,Other,Arthropoda,no
A0A8U0LTN3,Other,Arthropoda,no
P0C2S6,Other,Arthropoda,no
A0A8U0LTM5,Other,Arthropoda,no
A0A8U0LU66,Other,Arthropoda,no
W4VSI7,Other,Arthropoda,no
A0A8U0LTT9,Other,Arthropoda,no
W4VS32,Other,Arthropoda,no
W4VRV1,Other,Arthropoda,no
W4VRX3,Other,Arthropoda,no
W4VSI6,Other,Arthropoda,no
W4VSB2,Other,Arthropoda,no
P0C295,Other,Arthropoda,no
P83915,Other,Arthropoda,no
P83559,Other,Arthropoda,no
P34079,Other,Arthropoda,no
P36984,Other,Arthropoda,yes
P36985,Other,Arthropoda,yes
P36986,Other,Arthropoda,yes
P36987,Other,Arthropoda,yes
P36988,Other,Arthropoda,no
P0DRD2,Other,Arthropoda,no
P0DXT6,Other,Arthropoda,no
A0A6M3Z4R1,,Arthropoda,no
P0DXT7,Other,Arthropoda,no
P0DX58,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P84509,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
Q6B4T3,Other,Arthropoda,no
P86117,,Arthropoda,yes
P84510,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P31010,,Arthropoda,yes
P0DM67,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P83747,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B6DCT3,Other,Arthropoda,no
B6DCT4,Other,Arthropoda,no
B6DCT5,Other,Arthropoda,no
B6DCT6,Other,Arthropoda,no
B6DCT7,Other,Arthropoda,no
B6DCT8,Other,Arthropoda,no
A0A023W123,Other,Arthropoda,no
P0DPW9,Other,Arthropoda,no
P0DPZ6,Other,Arthropoda,no
P0DPU4,Other,Arthropoda,no
P0DPZ4,Other,Arthropoda,no
P0DPZ7,Other,Arthropoda,no
P0DQA5,Other,Arthropoda,no
P0DPZ8,Other,Arthropoda,no
I6S7G5,Other,Arthropoda,no
P0DPZ9,Other,Arthropoda,no
P0DQA0,Other,Arthropoda,yes
P0DQA1,Other,Arthropoda,no
P0DQA2,Other,Arthropoda,no
P0C2A2,,Arthropoda,yes
P0C2A3,,Arthropoda,yes
B6DD07,Other,Arthropoda,no
B6DD08,Other,Arthropoda,no
B6DD09,Other,Arthropoda,no
