identifier,Protein families,Phylum,has_fragment,has_signal_peptide
A2CKF7,Snake three-finger toxin family,Chordata,no,yes
P82935,Snake three-finger toxin family,Chordata,no,yes
P85520,Snake three-finger toxin family,Chordata,no,no
Q53B61,Snake three-finger toxin family,Chordata,yes,yes
Q70WS8,Snake three-finger toxin family,Chordata,no,yes
P58370,Snake three-finger toxin family,Chordata,no,yes
P15818,Snake three-finger toxin family,Chordata,no,yes
P81783,Snake three-finger toxin family,Chordata,no,yes
Q9YGH9,Snake three-finger toxin family,Chordata,no,yes
O12963,Snake three-finger toxin family,Chordata,no,yes
Q9YGJ0,Snake three-finger toxin family,Chordata,no,yes
Q9YGH0,Snake three-finger toxin family,Chordata,no,yes
Q8JFX7,Snake three-finger toxin family,Chordata,no,yes
Q9PW19,Snake three-finger toxin family,Chordata,no,yes
P25682,Snake three-finger toxin family,Chordata,no,no
P81782,Snake three-finger toxin family,Chordata,no,no
C0HJT4,Snake three-finger toxin family,Chordata,no,no
C0HKZ8,Snake three-finger toxin family,Chordata,no,no
A7X3M9,Snake three-finger toxin family,Chordata,no,yes
A7X3R6,Snake three-finger toxin family,Chordata,no,yes
C0HJR1,Snake three-finger toxin family,Chordata,no,no
A7X3M3,Snake three-finger toxin family,Chordata,no,yes
C0HJR2,Snake three-finger toxin family,Chordata,no,no
P86096,Snake three-finger toxin family,Chordata,no,no
A5X2W8,Snake three-finger toxin family,Chordata,no,yes
A7X6J0,Snake three-finger toxin family,Chordata,no,yes
P86423,Snake three-finger toxin family,Chordata,no,no
P86098,Snake three-finger toxin family,Chordata,no,no
P86424,Snake three-finger toxin family,Chordata,no,no
P86099,Snake three-finger toxin family,Chordata,no,no
A7X6I4,Snake three-finger toxin family,Chordata,no,yes
P01419,Snake three-finger toxin family,Chordata,no,no
Q7T2I1,Snake three-finger toxin family,Chordata,yes,yes
Q8UW27,Snake three-finger toxin family,Chordata,no,yes
E2ITZ3,Snake three-finger toxin family,Chordata,no,yes
P01412,Snake three-finger toxin family,Chordata,no,yes
C0HJI9,Snake three-finger toxin family,Chordata,yes,no
Q69CJ8,Snake three-finger toxin family,Chordata,no,yes
P01434,Snake three-finger toxin family,Chordata,no,no
P32879,Snake three-finger toxin family,Chordata,no,no
A8S6A4,Snake three-finger toxin family,Chordata,no,yes
P10808,Snake three-finger toxin family,Chordata,no,no
A8HDJ7,Snake three-finger toxin family,Chordata,no,yes
A6MFK6,Snake three-finger toxin family,Chordata,no,yes
P01417,Snake three-finger toxin family,Chordata,no,no
P01416,Snake three-finger toxin family,Chordata,no,no
P01418,Snake three-finger toxin family,Chordata,no,no
P01425,Snake three-finger toxin family,Chordata,no,no
A8HDJ9,Snake three-finger toxin family,Chordata,no,yes
P25494,Snake three-finger toxin family,Chordata,no,no
P68416,Snake three-finger toxin family,Chordata,no,yes
P01437,Snake three-finger toxin family,Chordata,no,no
P68413,Snake three-finger toxin family,Chordata,no,no
Q5UFR8,Snake three-finger toxin family,Chordata,no,yes
P68415,Snake three-finger toxin family,Chordata,no,no
P68412,Snake three-finger toxin family,Chordata,no,no
Q9YGC2,Snake three-finger toxin family,Chordata,no,yes
P86420,Snake three-finger toxin family,Chordata,yes,no
K9MCH1,Snake three-finger toxin family,Chordata,no,yes
P80548,Snake three-finger toxin family,Chordata,no,no
P86095,Snake three-finger toxin family,Chordata,no,no
C0HLK3,Snake three-finger toxin family,Chordata,yes,no
P34075,Snake three-finger toxin family,Chordata,no,no
P34076,Snake three-finger toxin family,Chordata,no,no
P68417,Snake three-finger toxin family,Chordata,no,no
P68418,Snake three-finger toxin family,Chordata,no,no
P01424,Snake three-finger toxin family,Chordata,no,no
P01431,Snake three-finger toxin family,Chordata,no,no
P68419,Snake three-finger toxin family,Chordata,no,no
P01427,Snake three-finger toxin family,Chordata,no,no
P01426,Snake three-finger toxin family,Chordata,no,no
P60773,Snake three-finger toxin family,Chordata,no,no
P60774,Snake three-finger toxin family,Chordata,no,no
A8HDK0,Snake three-finger toxin family,Chordata,no,yes
Q45Z11,Snake three-finger toxin family,Chordata,no,yes
P25497,Snake three-finger toxin family,Chordata,no,yes
P0DXT0,Snake three-finger toxin family,Chordata,no,no
A8HDJ4,Snake three-finger toxin family,Chordata,no,yes
A8HDJ5,Snake three-finger toxin family,Chordata,no,yes
F8J2G3,Snake three-finger toxin family,Chordata,no,yes
P0CAR4,Snake three-finger toxin family,Chordata,yes,no
P19959,Snake three-finger toxin family,Chordata,no,yes
A8HDJ8,Snake three-finger toxin family,Chordata,no,yes
P01433,Snake three-finger toxin family,Chordata,no,no
P62376,Snake three-finger toxin family,Chordata,yes,yes
Q8UW26,Snake three-finger toxin family,Chordata,no,yes
Q5UFR7,Snake three-finger toxin family,Chordata,no,yes
P10457,Snake three-finger toxin family,Chordata,no,yes
Q9YGW9,Snake three-finger toxin family,Chordata,no,yes
P01422,Snake three-finger toxin family,Chordata,no,no
P25675,Snake three-finger toxin family,Chordata,no,no
C0HM08,Snake three-finger toxin family,Chordata,no,no
P01423,Snake three-finger toxin family,Chordata,no,no
P0CB06,Snake three-finger toxin family,Chordata,no,no
A8HDJ6,Snake three-finger toxin family,Chordata,no,yes
F8J2G5,Snake three-finger toxin family,Chordata,no,yes
P19958,Snake three-finger toxin family,Chordata,no,no
Q9YGC4,Snake three-finger toxin family,Chordata,no,yes
P86422,Snake three-finger toxin family,Chordata,no,no
P86097,Snake three-finger toxin family,Chordata,no,no
P01420,Snake three-finger toxin family,Chordata,no,no
P01432,Snake three-finger toxin family,Chordata,no,no
Q9PSN6,Snake three-finger toxin family,Chordata,no,no
A7X4R5,Snake three-finger toxin family,Chordata,no,yes
C1IC47,Snake three-finger toxin family,Chordata,no,yes
P19960,Snake three-finger toxin family,Chordata,no,yes
Q9YGX0,Snake three-finger toxin family,Chordata,no,yes
Q9YGW8,Snake three-finger toxin family,Chordata,no,yes
P01421,Snake three-finger toxin family,Chordata,no,no
A7X4S0,Snake three-finger toxin family,Chordata,no,yes
C1IC48,Snake three-finger toxin family,Chordata,no,yes
F5CPD5,Snake three-finger toxin family,Chordata,no,yes
F5CPD6,Snake three-finger toxin family,Chordata,no,yes
F5CPD7,Snake three-finger toxin family,Chordata,no,yes
F5CPD8,Snake three-finger toxin family,Chordata,no,yes
F5CPD9,Snake three-finger toxin family,Chordata,no,yes
P62389,Snake three-finger toxin family,Chordata,no,no
Q9YGC7,Snake three-finger toxin family,Chordata,no,yes
P60772,Snake three-finger toxin family,Chordata,no,no
F5CPE4,Snake three-finger toxin family,Chordata,no,yes
P86425,Snake three-finger toxin family,Chordata,yes,no
Q9YGJ6,Snake three-finger toxin family,Chordata,no,yes
Q9YGJ5,Snake three-finger toxin family,Chordata,no,yes
O57326,Snake three-finger toxin family,Chordata,no,yes
O57327,Snake three-finger toxin family,Chordata,no,yes
P62388,Snake three-finger toxin family,Chordata,no,no
P0CG02,Snake three-finger toxin family,Chordata,no,no
P25495,Snake three-finger toxin family,Chordata,no,no
P14613,Snake three-finger toxin family,Chordata,no,no
P82849,Snake three-finger toxin family,Chordata,no,no
P25496,Snake three-finger toxin family,Chordata,no,no
P10459,Snake three-finger toxin family,Chordata,no,yes
P59275,Snake three-finger toxin family,Chordata,no,no
P60770,Snake three-finger toxin family,Chordata,no,yes
P60771,Snake three-finger toxin family,Chordata,no,yes
Q9PTT0,Snake three-finger toxin family,Chordata,no,yes
P80958,Snake three-finger toxin family,Chordata,no,yes
P10455,Snake three-finger toxin family,Chordata,no,yes
P10458,Snake three-finger toxin family,Chordata,no,no
P10460,Snake three-finger toxin family,Chordata,no,no
P59276,Snake three-finger toxin family,Chordata,no,no
P0CAR1,Snake three-finger toxin family,Chordata,no,no
P10456,Snake three-finger toxin family,Chordata,no,yes
P0CAR3,Snake three-finger toxin family,Chordata,yes,no
P0CAR5,Snake three-finger toxin family,Chordata,yes,no
P60775,Snake three-finger toxin family,Chordata,no,yes
Q90VW1,Snake three-finger toxin family,Chordata,no,yes
Q7T2I5,Snake three-finger toxin family,Chordata,no,yes
Q9YGX1,Snake three-finger toxin family,Chordata,no,yes
P0C555,Snake three-finger toxin family,Chordata,no,yes
Q9W7K2,Snake three-finger toxin family,Chordata,no,yes
Q9W7K1,Snake three-finger toxin family,Chordata,no,yes
P59072,Snake three-finger toxin family,Chordata,yes,no
P59073,Snake three-finger toxin family,Chordata,yes,no
Q9W7K0,Snake three-finger toxin family,Chordata,no,yes
Q9W7J9,Snake three-finger toxin family,Chordata,no,yes
Q9W7J7,Snake three-finger toxin family,Chordata,no,yes
Q9W7J6,Snake three-finger toxin family,Chordata,no,yes
A8HDK1,Snake three-finger toxin family,Chordata,no,yes
Q02454,Snake three-finger toxin family,Chordata,no,yes
P0DMV6,Snake three-finger toxin family,Chordata,yes,no
Q98957,Snake three-finger toxin family,Chordata,no,yes
Q98956,Snake three-finger toxin family,Chordata,no,yes
P79810,Snake three-finger toxin family,Chordata,no,yes
Q98958,Snake three-finger toxin family,Chordata,no,yes
P85429,Snake three-finger toxin family,Chordata,yes,no
P0C5H4,Snake three-finger toxin family,Chordata,yes,no
P60304,Snake three-finger toxin family,Chordata,no,yes
P01455,Snake three-finger toxin family,Chordata,no,no
P0CH80,Snake three-finger toxin family,Chordata,no,no
P01448,Snake three-finger toxin family,Chordata,no,no
P01467,Snake three-finger toxin family,Chordata,no,no
P01447,Snake three-finger toxin family,Chordata,no,no
P01456,Snake three-finger toxin family,Chordata,no,no
P01451,Snake three-finger toxin family,Chordata,no,no
P01468,Snake three-finger toxin family,Chordata,no,no
O93471,Snake three-finger toxin family,Chordata,no,yes
A0A7T7DMY7,Snake three-finger toxin family,Chordata,no,yes
P86538,Snake three-finger toxin family,Chordata,no,no
Q9PST4,Snake three-finger toxin family,Chordata,no,yes
Q9PST3,Snake three-finger toxin family,Chordata,no,yes
O93472,Snake three-finger toxin family,Chordata,no,yes
P01442,Snake three-finger toxin family,Chordata,no,yes
P01462,Snake three-finger toxin family,Chordata,no,no
Q9DGH9,Snake three-finger toxin family,Chordata,no,yes
P01469,Snake three-finger toxin family,Chordata,no,no
P01440,Snake three-finger toxin family,Chordata,no,no
P01463,Snake three-finger toxin family,Chordata,no,no
P01441,Snake three-finger toxin family,Chordata,no,no
Q98959,Snake three-finger toxin family,Chordata,no,yes
P86539,Snake three-finger toxin family,Chordata,yes,no
Q98960,Snake three-finger toxin family,Chordata,no,yes
Q98962,Snake three-finger toxin family,Chordata,no,yes
P60301,Snake three-finger toxin family,Chordata,no,yes
P01459,Snake three-finger toxin family,Chordata,no,no
P01446,Snake three-finger toxin family,Chordata,no,no
P01470,Snake three-finger toxin family,Chordata,no,no
P24780,Snake three-finger toxin family,Chordata,no,no
P01458,Snake three-finger toxin family,Chordata,no,no
P60302,Snake three-finger toxin family,Chordata,no,yes
O93473,Snake three-finger toxin family,Chordata,no,yes
O73856,Snake three-finger toxin family,Chordata,no,yes
Q9W6W9,Snake three-finger toxin family,Chordata,no,yes
P01443,Snake three-finger toxin family,Chordata,no,yes
P01461,Snake three-finger toxin family,Chordata,no,no
P60303,Snake three-finger toxin family,Chordata,no,yes
P01452,Snake three-finger toxin family,Chordata,no,no
O73857,Snake three-finger toxin family,Chordata,no,yes
P60310,Snake three-finger toxin family,Chordata,no,yes
Q98961,Snake three-finger toxin family,Chordata,no,yes
P01464,Snake three-finger toxin family,Chordata,no,no
P01457,Snake three-finger toxin family,Chordata,no,no
P24779,Snake three-finger toxin family,Chordata,no,no
P25517,Snake three-finger toxin family,Chordata,no,no
Q9PS34,Snake three-finger toxin family,Chordata,no,no
Q98965,Snake three-finger toxin family,Chordata,no,yes
P01465,Snake three-finger toxin family,Chordata,no,no
O73858,Snake three-finger toxin family,Chordata,yes,yes
P01445,Snake three-finger toxin family,Chordata,no,no
P01466,Snake three-finger toxin family,Chordata,no,no
P86382,Snake three-finger toxin family,Chordata,no,no
O73859,Snake three-finger toxin family,Chordata,yes,yes
P49123,Snake three-finger toxin family,Chordata,no,yes
Q91124,Snake three-finger toxin family,Chordata,no,yes
P01460,Snake three-finger toxin family,Chordata,no,no
P60305,Snake three-finger toxin family,Chordata,no,no
P86540,Snake three-finger toxin family,Chordata,no,no
P01454,Snake three-finger toxin family,Chordata,no,no
A0A0U5AUY6,Snake three-finger toxin family,Chordata,yes,yes
Q9W6W6,Snake three-finger toxin family,Chordata,no,yes
P01453,Snake three-finger toxin family,Chordata,no,no
P86541,Snake three-finger toxin family,Chordata,no,no
P60311,Snake three-finger toxin family,Chordata,no,no
P60306,Snake three-finger toxin family,Chordata,no,no
P60307,Snake three-finger toxin family,Chordata,no,no
P60308,Snake three-finger toxin family,Chordata,no,no
P60309,Snake three-finger toxin family,Chordata,no,no
P0C944,Snake three-finger toxin family,Chordata,yes,no
P80245,Snake three-finger toxin family,Chordata,no,yes
P0DSN1,Snake three-finger toxin family,Chordata,no,no
Q91135,Snake three-finger toxin family,Chordata,no,yes
P83345,Snake three-finger toxin family,Chordata,no,no
Q91136,Snake three-finger toxin family,Chordata,no,yes
P07525,Snake three-finger toxin family,Chordata,no,no
B3EWR3,Snake three-finger toxin family,Chordata,yes,no
P01471,Snake three-finger toxin family,Chordata,no,no
P24776,Snake three-finger toxin family,Chordata,no,no
P24777,Snake three-finger toxin family,Chordata,no,no
P0DQH3,Snake three-finger toxin family,Chordata,yes,no
P0DQH4,Snake three-finger toxin family,Chordata,yes,no
B3EWH9,Snake three-finger toxin family,Chordata,no,no
Q2VBN5,Snake three-finger toxin family,Chordata,no,yes
Q2VBN4,Snake three-finger toxin family,Chordata,no,yes
Q2VBN7,Snake three-finger toxin family,Chordata,no,yes
Q53B46,Snake three-finger toxin family,Chordata,no,yes
Q69CK0,Snake three-finger toxin family,Chordata,no,yes
Q2VBN8,Snake three-finger toxin family,Chordata,no,yes
P0C1Y9,Snake three-finger toxin family,Chordata,no,no
P0C1Z0,Snake three-finger toxin family,Chordata,no,no
P25681,Snake three-finger toxin family,Chordata,no,no
Q9PS08,Snake three-finger toxin family,Chordata,yes,no
P60234,Snake three-finger toxin family,Chordata,no,no
P60235,Snake three-finger toxin family,Chordata,yes,no
P60236,Snake three-finger toxin family,Chordata,yes,no
P85092,Snake three-finger toxin family,Chordata,no,no
P86419,Snake three-finger toxin family,Chordata,no,no
Q53B49,Snake three-finger toxin family,Chordata,no,yes
P25518,Snake three-finger toxin family,Chordata,no,no
P0DQP2,Snake three-finger toxin family,Chordata,yes,yes
P81030,Snake three-finger toxin family,Chordata,no,no
P18328,Snake three-finger toxin family,Chordata,no,yes
P81031,Snake three-finger toxin family,Chordata,no,no
Q9PSN1,Snake three-finger toxin family,Chordata,no,no
Q2VBN1,Snake three-finger toxin family,Chordata,no,yes
Q8QGR0,Snake three-finger toxin family,Chordata,no,yes
Q2VBN0,Snake three-finger toxin family,Chordata,no,yes
P80494,Snake three-finger toxin family,Chordata,no,no
P80495,Snake three-finger toxin family,Chordata,no,no
P01410,Snake three-finger toxin family,Chordata,no,no
P01411,Snake three-finger toxin family,Chordata,no,no
P01408,Snake three-finger toxin family,Chordata,no,no
P01409,Snake three-finger toxin family,Chordata,no,no
P17696,Snake three-finger toxin family,Chordata,no,yes
P01407,Snake three-finger toxin family,Chordata,no,no
P25684,Snake three-finger toxin family,Chordata,no,no
P01414,Snake three-finger toxin family,Chordata,no,no
P25683,Snake three-finger toxin family,Chordata,no,no
P22947,Snake three-finger toxin family,Chordata,no,no
C0HJT5,Snake three-finger toxin family,Chordata,no,no
Q9W717,Snake three-finger toxin family,Chordata,no,yes
P83346,Snake three-finger toxin family,Chordata,no,no
P0C554,Snake three-finger toxin family,Chordata,no,yes
Q9YGI8,Snake three-finger toxin family,Chordata,no,yes
P84716,Snake three-finger toxin family,Chordata,no,no
P0CAR2,Snake three-finger toxin family,Chordata,yes,no
P25676,Snake three-finger toxin family,Chordata,no,no
P01415,Snake three-finger toxin family,Chordata,no,no
P43445,Snake three-finger toxin family,Chordata,no,yes
Q9W727,Snake three-finger toxin family,Chordata,no,yes
Q9DEQ3,Snake three-finger toxin family,Chordata,no,yes
P82464,Snake three-finger toxin family,Chordata,no,no
P86544,Snake three-finger toxin family,Chordata,yes,no
A8N286,Snake three-finger toxin family,Chordata,no,yes
Q8AY53,Snake three-finger toxin family,Chordata,no,yes
Q9YGI0,Snake three-finger toxin family,Chordata,no,yes
Q8AY52,Snake three-finger toxin family,Chordata,no,yes
Q800Y3,Snake three-finger toxin family,Chordata,no,yes
Q7ZT13,Snake three-finger toxin family,Chordata,no,yes
P79688,Snake three-finger toxin family,Chordata,no,yes
P18329,Snake three-finger toxin family,Chordata,no,yes
P01406,Snake three-finger toxin family,Chordata,no,no
P01405,Snake three-finger toxin family,Chordata,no,no
P01404,Snake three-finger toxin family,Chordata,no,yes
Q9PS09,Snake three-finger toxin family,Chordata,yes,no
Q9PUB7,Snake three-finger toxin family,Chordata,no,yes
Q9PRI1,Snake three-finger toxin family,Chordata,no,yes
P19004,Snake three-finger toxin family,Chordata,no,no
P24778,Snake three-finger toxin family,Chordata,no,no
P0DUK7,Snake three-finger toxin family,Chordata,no,no
P01474,Snake three-finger toxin family,Chordata,no,no
Q8UUK0,Snake three-finger toxin family,Chordata,no,yes
P01473,Snake three-finger toxin family,Chordata,no,no
P62375,Snake three-finger toxin family,Chordata,no,yes
P49122,Snake three-finger toxin family,Chordata,no,yes
Q91126,Snake three-finger toxin family,Chordata,no,yes
P62390,Snake three-finger toxin family,Chordata,no,no
P62394,Snake three-finger toxin family,Chordata,no,no
P0C547,Snake three-finger toxin family,Chordata,yes,no
P14541,Snake three-finger toxin family,Chordata,no,no
Q91137,Snake three-finger toxin family,Chordata,no,yes
P62377,Snake three-finger toxin family,Chordata,no,no
Q91996,Snake three-finger toxin family,Chordata,no,yes
Q9W716,Snake three-finger toxin family,Chordata,no,yes
P19003,Snake three-finger toxin family,Chordata,no,no
P14534,Snake three-finger toxin family,Chordata,no,no
P0C553,Snake three-finger toxin family,Chordata,no,yes
P0C552,Snake three-finger toxin family,Chordata,no,yes
P01402,Snake three-finger toxin family,Chordata,no,no
P25678,Snake three-finger toxin family,Chordata,no,no
P25677,Snake three-finger toxin family,Chordata,no,no
P0DQH2,Snake three-finger toxin family,Chordata,no,no
P01413,Snake three-finger toxin family,Chordata,no,no
P28375,Snake three-finger toxin family,Chordata,no,no
P81946,Snake three-finger toxin family,Chordata,no,no
P60237,Snake three-finger toxin family,Chordata,no,no
P82462,Snake three-finger toxin family,Chordata,no,no
P0DQQ3,Snake three-finger toxin family,Chordata,no,no
P82463,Snake three-finger toxin family,Chordata,no,no
F5CPE6,Snake three-finger toxin family,Chordata,no,yes
A0A2P1BST7,Snake three-finger toxin family,Chordata,no,yes
P0DKR6,Snake three-finger toxin family,Chordata,no,yes
C0HK04,Snake three-finger toxin family,Chordata,no,no
C6JUP1,Snake three-finger toxin family,Chordata,no,yes
C0HLK5,Snake three-finger toxin family,Chordata,no,no
B3EWF8,Snake three-finger toxin family,Chordata,no,yes
Q9PRQ2,Snake three-finger toxin family,Chordata,yes,no
P83302,Snake three-finger toxin family,Chordata,no,no
P0DKS3,Snake three-finger toxin family,Chordata,no,no
P86421,Snake three-finger toxin family,Chordata,no,no
K9MCX0,Snake three-finger toxin family,Chordata,no,yes
A0A2P1BSS9,Snake three-finger toxin family,Chordata,no,yes
Q53B50,Snake three-finger toxin family,Chordata,no,yes
C0HJB0,Snake three-finger toxin family,Chordata,no,no
